"Position holder";"Name of the issuer";"ISIN";"Net short position";"Position date"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"3.16";"2024-12-11 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.81";"2024-12-11 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.07";"2024-12-10 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.79";"2024-12-09 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.18";"2024-12-06 00:00:00"
"D. E. Shaw & Co., L.P.";"Alfen N.V.";"NL0012817175";"0.51";"2024-12-06 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.83";"2024-12-06 00:00:00"
"Acadian Asset Management LLC.";"AMG Critical Materials N.V.";"NL0000888691";"0.66";"2024-12-05 00:00:00"
"Lazard Asset Management LLC";"Pharming Group N.V.";"NL0010391025";"0.60";"2024-12-05 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.96";"2024-12-05 00:00:00"
"Marshall Wace LLP";"TKH Group N.V.";"NL0000852523";"0.70";"2024-12-04 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"3.23";"2024-12-03 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"2.03";"2024-12-03 00:00:00"
"Wellington Management International Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.60";"2024-12-03 00:00:00"
"Wellington Management International Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.59";"2024-12-02 00:00:00"
"Actus Ray Partners Limited";"AMG Critical Materials N.V.";"NL0000888691";"0.66";"2024-11-29 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.91";"2024-11-29 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.89";"2024-11-28 00:00:00"
"Canada Pension Plan Investment Board";"BE Semiconductor Industries N.V.";"NL0012866412";"0.70";"2024-11-27 00:00:00"
"GSA Capital Partners LLP";"PostNL N.V.";"NL0009739416";"0.54";"2024-11-27 00:00:00"
"Marshall Wace LLP";"TKH Group N.V.";"NL0000852523";"0.60";"2024-11-27 00:00:00"
"Acadian Asset Management LLC.";"AMG Critical Materials N.V.";"NL0000888691";"0.52";"2024-11-25 00:00:00"
"Guevoura Fund Limited";"Ebusco Holding N.V.";"NL0015002AG2";"1.08";"2024-11-25 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.97";"2024-11-25 00:00:00"
"Guevoura Fund Limited";"Ebusco Holding N.V.";"NL0015002AG2";"1.08";"2024-11-22 00:00:00"
"GSA Capital Partners LLP";"PostNL N.V.";"NL0009739416";"0.60";"2024-11-21 00:00:00"
"Guevoura Fund Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.80";"2024-11-21 00:00:00"
"Marshall Wace LLP";"TKH Group N.V.";"NL0000852523";"0.51";"2024-11-21 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"3.10";"2024-11-20 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.87";"2024-11-20 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.25";"2024-11-19 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.94";"2024-11-19 00:00:00"
"AQR Capital Management, LLC";"BE Semiconductor Industries N.V.";"NL0012866412";"0.52";"2024-11-15 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.08";"2024-11-15 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"1.08";"2024-11-15 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.74";"2024-11-15 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.80";"2024-11-14 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"3.02";"2024-11-12 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.76";"2024-11-11 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.81";"2024-11-08 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.10";"2024-11-07 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"2.90";"2024-11-06 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.86";"2024-11-06 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.02";"2024-11-05 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.99";"2024-11-04 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"2.80";"2024-11-04 00:00:00"
"Wellington Management International Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.60";"2024-11-01 00:00:00"
"Lazard Asset Management LLC";"Pharming Group N.V.";"NL0010391025";"0.59";"2024-10-31 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"2.71";"2024-10-31 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.31";"2024-10-30 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"1.19";"2024-10-29 00:00:00"
"Lazard Asset Management LLC";"Pharming Group N.V.";"NL0010391025";"0.62";"2024-10-25 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"2.61";"2024-10-25 00:00:00"
"Lazard Asset Management LLC";"Pharming Group N.V.";"NL0010391025";"0.58";"2024-10-24 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"2.51";"2024-10-24 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.99";"2024-10-24 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.22";"2024-10-23 00:00:00"
"Canada Pension Plan Investment Board";"BE Semiconductor Industries N.V.";"NL0012866412";"0.68";"2024-10-22 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"2.25";"2024-10-22 00:00:00"
"Lazard Asset Management LLC";"Pharming Group N.V.";"NL0010391025";"0.62";"2024-10-18 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.80";"2024-10-16 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"2.11";"2024-10-16 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"1.11";"2024-10-15 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"2.03";"2024-10-15 00:00:00"
"Actus Ray Partners Limited";"AMG Critical Materials N.V.";"NL0000888691";"0.50";"2024-10-14 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"1.03";"2024-10-14 00:00:00"
"Canada Pension Plan Investment Board";"BE Semiconductor Industries N.V.";"NL0012866412";"0.71";"2024-10-11 00:00:00"
"Lazard Asset Management LLC";"Pharming Group N.V.";"NL0010391025";"0.59";"2024-10-11 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"2.01";"2024-10-11 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.82";"2024-10-11 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.94";"2024-10-11 00:00:00"
"Canada Pension Plan Investment Board";"BE Semiconductor Industries N.V.";"NL0012866412";"0.65";"2024-10-10 00:00:00"
"Lazard Asset Management LLC";"Pharming Group N.V.";"NL0010391025";"0.63";"2024-10-10 00:00:00"
"GSA Capital Partners LLP";"PostNL N.V.";"NL0009739416";"0.51";"2024-10-09 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.71";"2024-10-09 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.93";"2024-10-09 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.12";"2024-10-08 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.69";"2024-10-08 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.89";"2024-10-07 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.67";"2024-10-07 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.22";"2024-10-04 00:00:00"
"Wellington Management International Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.53";"2024-10-03 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.90";"2024-10-01 00:00:00"
"Wellington Management International Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.68";"2024-10-01 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.38";"2024-09-27 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.48";"2024-09-26 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.86";"2024-09-26 00:00:00"
"Arrowstreet Capital, Limited Partnership";"IMCD N.V.";"NL0010801007";"0.50";"2024-09-24 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.49";"2024-09-20 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.79";"2024-09-20 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.82";"2024-09-20 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.54";"2024-09-19 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.91";"2024-09-19 00:00:00"
