"Position holder";"Name of the issuer";"ISIN";"Net short position";"Position date"
"GLG Partners LP";"TKH Group N.V.";"NL0000852523";"0.48";"2025-05-13 00:00:00"
"Millennium International Management LP";"Fugro N.V.";"NL00150003E1";"0.48";"2025-05-13 00:00:00"
"PDT Partners, LLC";"PostNL N.V.";"NL0009739416";"0.48";"2025-05-12 00:00:00"
"Point72 Europe (London), LLP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0.32";"2025-05-12 00:00:00"
"Spark Investment Management LLC";"Alfen N.V.";"NL0012817175";"0.47";"2025-05-12 00:00:00"
"PDT Partners, LLC";"PostNL N.V.";"NL0009739416";"0.50";"2025-05-09 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.44";"2025-05-08 00:00:00"
"PDT Partners, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.36";"2025-05-08 00:00:00"
"Eleva Capital SAS";"Fugro N.V.";"NL00150003E1";"0.13";"2025-05-06 00:00:00"
"Marshall Wace LLP";"Randstad N.V.";"NL0000379121";"0.49";"2025-05-06 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.44";"2025-05-06 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.50";"2025-05-05 00:00:00"
"PDT Partners, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.79";"2025-05-05 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Pharming Group N.V.";"NL0010391025";"0.49";"2025-05-02 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.55";"2025-05-02 00:00:00"
"Millennium International Management LP";"Fugro N.V.";"NL00150003E1";"0.51";"2025-05-02 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.18";"2025-04-30 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.65";"2025-04-29 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.64";"2025-04-29 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.48";"2025-04-29 00:00:00"
"AQR Capital Management, LLC";"ASR Nederland N.V.";"NL0011872643";"0.46";"2025-04-28 00:00:00"
"Canada Pension Plan Investment Board";"Flow Traders Ltd.";"BMG3602E1084";"0.49";"2025-04-28 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.73";"2025-04-28 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.70";"2025-04-28 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Pharming Group N.V.";"NL0010391025";"0.59";"2025-04-25 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.67";"2025-04-25 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.80";"2025-04-25 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.53";"2025-04-25 00:00:00"
"WorldQuant, LLC";"BE Semiconductor Industries N.V.";"NL0012866412";"0.48";"2025-04-25 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.59";"2025-04-24 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.77";"2025-04-24 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.39";"2025-04-24 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.52";"2025-04-23 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.60";"2025-04-23 00:00:00"
"AQR Capital Management, LLC";"ASR Nederland N.V.";"NL0011872643";"0.58";"2025-04-22 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Alfen N.V.";"NL0012817175";"0.47";"2025-04-22 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.67";"2025-04-22 00:00:00"
"Citadel Advisors LLC";"TomTom N.V.";"NL0013332471";"0.49";"2025-04-22 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.61";"2025-04-22 00:00:00"
"Marshall Wace LLP";"Randstad N.V.";"NL0000379121";"0.51";"2025-04-22 00:00:00"
"Walleye Capital LLC";"Basic-Fit N.V.";"NL0011872650";"0.48";"2025-04-22 00:00:00"
"Boldhaven Management LLP";"ARCADIS N.V.";"NL0006237562";"0.43";"2025-04-17 00:00:00"
"WorldQuant, LLC";"BE Semiconductor Industries N.V.";"NL0012866412";"0.50";"2025-04-16 00:00:00"
"Boldhaven Management LLP";"ARCADIS N.V.";"NL0006237562";"0.54";"2025-04-15 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.58";"2025-04-15 00:00:00"
"PDT Partners, LLC";"Basic-Fit N.V.";"NL0011872650";"0.48";"2025-04-15 00:00:00"
"Marshall Wace LLP";"Galapagos NV";"BE0003818359";"0.49";"2025-04-14 00:00:00"
"Qube Research & Technologies Ltd.";"Galapagos NV";"BE0003818359";"0.48";"2025-04-14 00:00:00"
"Canada Pension Plan Investment Board";"Flow Traders Ltd.";"BMG3602E1084";"0.59";"2025-04-11 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.68";"2025-04-11 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.70";"2025-04-10 00:00:00"
"Citadel Advisors LLC";"ArcelorMittal S.A.";"LU1598757687";"0.47";"2025-04-10 00:00:00"
"Marshall Wace LLP";"Randstad N.V.";"NL0000379121";"0.49";"2025-04-10 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.59";"2025-04-10 00:00:00"
"Point72 Europe (London), LLP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0.50";"2025-04-10 00:00:00"
"WorldQuant, LLC";"BE Semiconductor Industries N.V.";"NL0012866412";"0.47";"2025-04-10 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Alfen N.V.";"NL0012817175";"0.59";"2025-04-09 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.69";"2025-04-09 00:00:00"
"D. E. Shaw & Co., L.P.";"Just Eat Takeaway.com N.V.";"NL0012015705";"0.49";"2025-04-09 00:00:00"
"Eleva Capital SAS";"Fugro N.V.";"NL00150003E1";"0.58";"2025-04-09 00:00:00"
"Marshall Wace LLP";"OCI N.V.";"NL0010558797";"0.49";"2025-04-09 00:00:00"
"Point72 Europe (London), LLP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0.45";"2025-04-09 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Pharming Group N.V.";"NL0010391025";"0.60";"2025-04-08 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.73";"2025-04-08 00:00:00"
"Eleva Capital SAS";"Fugro N.V.";"NL00150003E1";"0.80";"2025-04-08 00:00:00"
"Numeric Investors LLC";"Brunel International N.V.";"NL0010776944";"0.46";"2025-04-08 00:00:00"
"PDT Partners, LLC";"Basic-Fit N.V.";"NL0011872650";"0.50";"2025-04-08 00:00:00"
"AQR Capital Management, LLC";"Universal Music Group N.V.";"NL0015000IY2";"0.49";"2025-04-07 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.65";"2025-04-07 00:00:00"
"Citadel Advisors LLC";"TomTom N.V.";"NL0013332471";"0.58";"2025-04-07 00:00:00"
"Clean Energy Transition LLP";"Signify N.V.";"NL0011821392";"0.40";"2025-04-07 00:00:00"
"D. E. Shaw & Co., L.P.";"Just Eat Takeaway.com N.V.";"NL0012015705";"0.54";"2025-04-07 00:00:00"
"PDT Partners, LLC";"Basic-Fit N.V.";"NL0011872650";"0.49";"2025-04-07 00:00:00"
"Qube Research & Technologies Ltd.";"Galapagos NV";"BE0003818359";"0.50";"2025-04-07 00:00:00"
"Walleye Capital LLC";"Basic-Fit N.V.";"NL0011872650";"0.50";"2025-04-07 00:00:00"
"Citadel Advisors LLC";"ArcelorMittal S.A.";"LU1598757687";"0.52";"2025-04-04 00:00:00"
"Citadel Advisors LLC";"TomTom N.V.";"NL0013332471";"0.60";"2025-04-04 00:00:00"
"Clean Energy Transition LLP";"Signify N.V.";"NL0011821392";"0.63";"2025-04-04 00:00:00"
"Eleva Capital SAS";"Fugro N.V.";"NL00150003E1";"0.90";"2025-04-04 00:00:00"
"AQR Capital Management, LLC";"Universal Music Group N.V.";"NL0015000IY2";"0.50";"2025-04-03 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.64";"2025-04-03 00:00:00"
"PDT Partners, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.81";"2025-04-03 00:00:00"
"Qube Research & Technologies Ltd.";"Avantium N.V.";"NL0012047823";"0.00";"2025-04-03 00:00:00"
"Qube Research & Technologies Ltd.";"Galapagos NV";"BE0003818359";"0.47";"2025-04-03 00:00:00"
"Qube Research & Technologies Ltd.";"TKH Group N.V.";"NL0000852523";"0.02";"2025-04-03 00:00:00"
"WorldQuant, LLC";"BE Semiconductor Industries N.V.";"NL0012866412";"0.50";"2025-04-03 00:00:00"
"AQR Capital Management, LLC";"ASR Nederland N.V.";"NL0011872643";"0.69";"2025-04-02 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.79";"2025-04-02 00:00:00"
"Marshall Wace LLP";"OCI N.V.";"NL0010558797";"0.59";"2025-04-02 00:00:00"
"PDT Partners, LLC";"Basic-Fit N.V.";"NL0011872650";"0.50";"2025-04-02 00:00:00"
"Qube Research & Technologies Ltd.";"Avantium N.V.";"NL0012047823";"1.43";"2025-04-02 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Pharming Group N.V.";"NL0010391025";"0.59";"2025-04-01 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.83";"2025-04-01 00:00:00"
"D. E. Shaw & Co., L.P.";"Just Eat Takeaway.com N.V.";"NL0012015705";"0.69";"2025-04-01 00:00:00"
"GLG Partners LP";"TKH Group N.V.";"NL0000852523";"0.50";"2025-04-01 00:00:00"
"Numeric Investors LLC";"Brunel International N.V.";"NL0010776944";"0.50";"2025-04-01 00:00:00"
"Qube Research & Technologies Ltd.";"Avantium N.V.";"NL0012047823";"1.59";"2025-04-01 00:00:00"
"Citadel Advisors LLC";"TomTom N.V.";"NL0013332471";"0.51";"2025-03-31 00:00:00"
"Marshall Wace LLP";"Koninklijke Philips N.V.";"NL0000009538";"0.48";"2025-03-31 00:00:00"
"Marshall Wace LLP";"OCI N.V.";"NL0010558797";"0.67";"2025-03-31 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.95";"2025-03-28 00:00:00"
"PDT Partners, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.70";"2025-03-28 00:00:00"
"Spark Investment Management LLC";"Alfen N.V.";"NL0012817175";"0.56";"2025-03-28 00:00:00"
"WorldQuant, LLC";"BE Semiconductor Industries N.V.";"NL0012866412";"0.49";"2025-03-28 00:00:00"
"Qube Research & Technologies Ltd.";"TKH Group N.V.";"NL0000852523";"0.70";"2025-03-27 00:00:00"
"WorldQuant, LLC";"BE Semiconductor Industries N.V.";"NL0012866412";"0.50";"2025-03-27 00:00:00"
"Marshall Wace LLP";"Randstad N.V.";"NL0000379121";"0.59";"2025-03-26 00:00:00"
"Qube Research & Technologies Ltd.";"Avantium N.V.";"NL0012047823";"1.69";"2025-03-26 00:00:00"
"Spark Investment Management LLC";"Alfen N.V.";"NL0012817175";"0.68";"2025-03-26 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Pharming Group N.V.";"NL0010391025";"0.69";"2025-03-25 00:00:00"
"Marshall Wace LLP";"Koninklijke Philips N.V.";"NL0000009538";"0.57";"2025-03-25 00:00:00"
"Marshall Wace LLP";"OCI N.V.";"NL0010558797";"0.78";"2025-03-25 00:00:00"
"Marshall Wace LLP";"Randstad N.V.";"NL0000379121";"0.61";"2025-03-25 00:00:00"
"Voleon Capital Management LP";"Ebusco Holding N.V.";"NL0015002AG2";"0.44";"2025-03-25 00:00:00"
"D. E. Shaw & Co., L.P.";"PostNL N.V.";"NL0009739416";"0.49";"2025-03-24 00:00:00"
"Millennium Capital Partners LLP";"Alfen N.V.";"NL0012817175";"0.46";"2025-03-24 00:00:00"
"Qube Research & Technologies Ltd.";"TKH Group N.V.";"NL0000852523";"0.68";"2025-03-24 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.82";"2025-03-21 00:00:00"
"Citadel Advisors LLC";"OCI N.V.";"NL0010558797";"0.49";"2025-03-21 00:00:00"
"Clean Energy Transition LLP";"Signify N.V.";"NL0011821392";"0.71";"2025-03-21 00:00:00"
"D. E. Shaw & Co., L.P.";"Just Eat Takeaway.com N.V.";"NL0012015705";"0.76";"2025-03-21 00:00:00"
"Marshall Wace LLP";"Galapagos NV";"BE0003818359";"0.59";"2025-03-21 00:00:00"
"Millennium International Management LP";"Alfen N.V.";"NL0012817175";"0.00";"2025-03-21 00:00:00"
"Millennium International Management LP";"AMG Critical Materials N.V.";"NL0000888691";"0.09";"2025-03-21 00:00:00"
"Qube Research & Technologies Ltd.";"Avantium N.V.";"NL0012047823";"1.79";"2025-03-21 00:00:00"
"AQR Capital Management, LLC";"ASR Nederland N.V.";"NL0011872643";"0.77";"2025-03-20 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Pharming Group N.V.";"NL0010391025";"0.76";"2025-03-20 00:00:00"
"Capital Fund Management S.A.";"TKH Group N.V.";"NL0000852523";"0.46";"2025-03-20 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.78";"2025-03-20 00:00:00"
"Millennium International Management LP";"Alfen N.V.";"NL0012817175";"0.60";"2025-03-20 00:00:00"
"Marshall Wace LLP";"Koninklijke Philips N.V.";"NL0000009538";"0.60";"2025-03-19 00:00:00"
"Marshall Wace LLP";"OCI N.V.";"NL0010558797";"0.87";"2025-03-19 00:00:00"
"Marshall Wace LLP";"Randstad N.V.";"NL0000379121";"0.51";"2025-03-19 00:00:00"
"Millennium International Management LP";"AMG Critical Materials N.V.";"NL0000888691";"0.52";"2025-03-19 00:00:00"
"Qube Research & Technologies Ltd.";"Avantium N.V.";"NL0012047823";"1.85";"2025-03-19 00:00:00"
"Voleon Capital Management LP";"Ebusco Holding N.V.";"NL0015002AG2";"0.59";"2025-03-19 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Pharming Group N.V.";"NL0010391025";"0.87";"2025-03-18 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.80";"2025-03-18 00:00:00"
"D. E. Shaw & Co., L.P.";"Just Eat Takeaway.com N.V.";"NL0012015705";"0.85";"2025-03-18 00:00:00"
"Qube Research & Technologies Ltd.";"TKH Group N.V.";"NL0000852523";"0.71";"2025-03-18 00:00:00"
"Capital Fund Management S.A.";"TKH Group N.V.";"NL0000852523";"0.50";"2025-03-17 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.70";"2025-03-17 00:00:00"
"Citadel Advisors LLC";"OCI N.V.";"NL0010558797";"0.51";"2025-03-17 00:00:00"
"PDT Partners, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.65";"2025-03-17 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.61";"2025-03-14 00:00:00"
"Marshall Wace LLP";"Randstad N.V.";"NL0000379121";"0.49";"2025-03-14 00:00:00"
"Voleon Capital Management LP";"Ebusco Holding N.V.";"NL0015002AG2";"0.68";"2025-03-14 00:00:00"
"AQR Capital Management, LLC";"ASR Nederland N.V.";"NL0011872643";"0.80";"2025-03-13 00:00:00"
"D. E. Shaw & Co., L.P.";"Just Eat Takeaway.com N.V.";"NL0012015705";"0.94";"2025-03-13 00:00:00"
"Marshall Wace LLP";"Koninklijke KPN N.V.";"NL0000009082";"0.49";"2025-03-13 00:00:00"
"Marshall Wace LLP";"Randstad N.V.";"NL0000379121";"0.50";"2025-03-13 00:00:00"
"Millennium Capital Partners LLP";"Alfen N.V.";"NL0012817175";"0.58";"2025-03-13 00:00:00"
"Spark Investment Management LLC";"Alfen N.V.";"NL0012817175";"0.74";"2025-03-13 00:00:00"
"Citadel Advisors LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.46";"2025-03-12 00:00:00"
"Marshall Wace LLP";"Koninklijke KPN N.V.";"NL0000009082";"0.50";"2025-03-12 00:00:00"
"Millennium Capital Partners LLP";"Alfen N.V.";"NL0012817175";"0.62";"2025-03-12 00:00:00"
"Qube Research & Technologies Ltd.";"TKH Group N.V.";"NL0000852523";"0.69";"2025-03-12 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.49";"2025-03-11 00:00:00"
"D. E. Shaw & Co., L.P.";"Just Eat Takeaway.com N.V.";"NL0012015705";"1.05";"2025-03-11 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TKH Group N.V.";"NL0000852523";"0.46";"2025-03-11 00:00:00"
"Marshall Wace LLP";"Koninklijke Philips N.V.";"NL0000009538";"0.51";"2025-03-11 00:00:00"
"Marshall Wace LLP";"OCI N.V.";"NL0010558797";"0.96";"2025-03-11 00:00:00"
"Millennium Capital Partners LLP";"Alfen N.V.";"NL0012817175";"0.54";"2025-03-11 00:00:00"
"Millennium Capital Partners LLP";"Aperam S.A.";"LU0569974404";"0.11";"2025-03-11 00:00:00"
"Qube Research & Technologies Ltd.";"TKH Group N.V.";"NL0000852523";"0.70";"2025-03-11 00:00:00"
"Citadel Advisors LLC";"OCI N.V.";"NL0010558797";"0.49";"2025-03-10 00:00:00"
"Marshall Wace LLP";"Koninklijke Philips N.V.";"NL0000009538";"0.48";"2025-03-10 00:00:00"
"Marshall Wace LLP";"OCI N.V.";"NL0010558797";"1.00";"2025-03-10 00:00:00"
"PDT Partners, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.71";"2025-03-10 00:00:00"
"Qube Research & Technologies Ltd.";"Avantium N.V.";"NL0012047823";"1.75";"2025-03-10 00:00:00"
"Qube Research & Technologies Ltd.";"Galapagos NV";"BE0003818359";"1.20";"2025-03-10 00:00:00"
"Citadel Advisors LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.52";"2025-03-07 00:00:00"
"D. E. Shaw & Co., L.P.";"Just Eat Takeaway.com N.V.";"NL0012015705";"1.18";"2025-03-07 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.56";"2025-03-06 00:00:00"
"D. E. Shaw & Co., L.P.";"AMG Critical Materials N.V.";"NL0000888691";"0.42";"2025-03-06 00:00:00"
"Numeric Investors LLC";"Brunel International N.V.";"NL0010776944";"0.48";"2025-03-06 00:00:00"
"PDT Partners, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.69";"2025-03-06 00:00:00"
"Citadel Advisors LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.48";"2025-03-05 00:00:00"
"Citadel Advisors LLC";"TomTom N.V.";"NL0013332471";"0.49";"2025-03-05 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.70";"2025-03-05 00:00:00"
"D. E. Shaw & Co., L.P.";"Just Eat Takeaway.com N.V.";"NL0012015705";"1.29";"2025-03-05 00:00:00"
"Qube Research & Technologies Ltd.";"TKH Group N.V.";"NL0000852523";"0.65";"2025-03-05 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Alfen N.V.";"NL0012817175";"0.61";"2025-03-04 00:00:00"
"Citadel Advisors LLC";"TomTom N.V.";"NL0013332471";"0.51";"2025-03-04 00:00:00"
"D. E. Shaw & Co., L.P.";"AMG Critical Materials N.V.";"NL0000888691";"0.59";"2025-03-04 00:00:00"
"D. E. Shaw & Co., L.P.";"Just Eat Takeaway.com N.V.";"NL0012015705";"1.37";"2025-03-04 00:00:00"
"Millennium Capital Partners LLP";"Alfen N.V.";"NL0012817175";"0.39";"2025-03-04 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.51";"2025-03-04 00:00:00"
"PDT Partners, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.84";"2025-03-04 00:00:00"
"Point72 Europe (London), LLP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0.54";"2025-03-04 00:00:00"
"Qube Research & Technologies Ltd.";"TKH Group N.V.";"NL0000852523";"0.70";"2025-03-04 00:00:00"
"AQR Capital Management, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.48";"2025-03-03 00:00:00"
"Citadel Advisors LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.54";"2025-03-03 00:00:00"
"Clean Energy Transition LLP";"Signify N.V.";"NL0011821392";"0.59";"2025-03-03 00:00:00"
"Marshall Wace LLP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0.49";"2025-03-03 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.49";"2025-03-03 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.80";"2025-02-28 00:00:00"
"D. E. Shaw & Co., L.P.";"Just Eat Takeaway.com N.V.";"NL0012015705";"1.47";"2025-02-28 00:00:00"
"Eleva Capital SAS";"Fugro N.V.";"NL00150003E1";"0.81";"2025-02-28 00:00:00"
"Marshall Wace LLP";"Koninklijke Philips N.V.";"NL0000009538";"0.50";"2025-02-28 00:00:00"
"Marshall Wace LLP";"OCI N.V.";"NL0010558797";"0.98";"2025-02-28 00:00:00"
"Millennium Capital Partners LLP";"Alfen N.V.";"NL0012817175";"0.50";"2025-02-28 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.50";"2025-02-28 00:00:00"
"Citadel Advisors LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.61";"2025-02-27 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.79";"2025-02-27 00:00:00"
"D. E. Shaw & Co., L.P.";"AMG Critical Materials N.V.";"NL0000888691";"0.44";"2025-02-27 00:00:00"
"D. E. Shaw & Co., L.P.";"Just Eat Takeaway.com N.V.";"NL0012015705";"1.53";"2025-02-27 00:00:00"
"Millennium Capital Partners LLP";"Aperam S.A.";"LU0569974404";"0.92";"2025-02-27 00:00:00"
"PDT Partners, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.77";"2025-02-27 00:00:00"
"AHL Partners LLP";"Just Eat Takeaway.com N.V.";"NL0012015705";"0.49";"2025-02-26 00:00:00"
"AKO Capital LLP";"Randstad N.V.";"NL0000379121";"0.49";"2025-02-26 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.61";"2025-02-26 00:00:00"
"D. E. Shaw & Co., L.P.";"AMG Critical Materials N.V.";"NL0000888691";"0.59";"2025-02-26 00:00:00"
"D. E. Shaw & Co., L.P.";"Just Eat Takeaway.com N.V.";"NL0012015705";"1.69";"2025-02-26 00:00:00"
"Voleon Capital Management LP";"Ebusco Holding N.V.";"NL0015002AG2";"0.73";"2025-02-26 00:00:00"
"AHL Partners LLP";"Just Eat Takeaway.com N.V.";"NL0012015705";"0.57";"2025-02-25 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Just Eat Takeaway.com N.V.";"NL0012015705";"0.15";"2025-02-25 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Pharming Group N.V.";"NL0010391025";"0.99";"2025-02-25 00:00:00"
"Capital Fund Management S.A.";"Just Eat Takeaway.com N.V.";"NL0012015705";"0.35";"2025-02-25 00:00:00"
"D. E. Shaw & Co., L.P.";"Just Eat Takeaway.com N.V.";"NL0012015705";"1.82";"2025-02-25 00:00:00"
"Millennium Capital Partners LLP";"Aperam S.A.";"LU0569974404";"0.88";"2025-02-25 00:00:00"
"AHL Partners LLP";"Just Eat Takeaway.com N.V.";"NL0012015705";"0.69";"2025-02-24 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Just Eat Takeaway.com N.V.";"NL0012015705";"0.95";"2025-02-24 00:00:00"
"BlackRock Investment Management (UK) Limited";"Just Eat Takeaway.com N.V.";"NL0012015705";"0.00";"2025-02-24 00:00:00"
"Capital Fund Management S.A.";"Just Eat Takeaway.com N.V.";"NL0012015705";"1.03";"2025-02-24 00:00:00"
"D. E. Shaw & Co., L.P.";"Just Eat Takeaway.com N.V.";"NL0012015705";"2.13";"2025-02-24 00:00:00"
"Eleva Capital SAS";"Fugro N.V.";"NL00150003E1";"0.65";"2025-02-24 00:00:00"
"Millennium Capital Partners LLP";"Alfen N.V.";"NL0012817175";"0.49";"2025-02-24 00:00:00"
"PDT Partners, LLC";"PostNL N.V.";"NL0009739416";"0.46";"2025-02-24 00:00:00"
"Voleon Capital Management LP";"Ebusco Holding N.V.";"NL0015002AG2";"0.64";"2025-02-24 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Just Eat Takeaway.com N.V.";"NL0012015705";"1.43";"2025-02-21 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Galapagos NV";"BE0003818359";"0.49";"2025-02-21 00:00:00"
"D. E. Shaw & Co., L.P.";"Just Eat Takeaway.com N.V.";"NL0012015705";"2.20";"2025-02-21 00:00:00"
"AKO Capital LLP";"Randstad N.V.";"NL0000379121";"0.64";"2025-02-20 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Just Eat Takeaway.com N.V.";"NL0012015705";"1.51";"2025-02-20 00:00:00"
"D. E. Shaw & Co., L.P.";"AMG Critical Materials N.V.";"NL0000888691";"0.67";"2025-02-20 00:00:00"
"Marshall Wace LLP";"Galapagos NV";"BE0003818359";"0.61";"2025-02-20 00:00:00"
"PDT Partners, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.80";"2025-02-20 00:00:00"
"Southpoint Capital Advisors LP";"BE Semiconductor Industries N.V.";"NL0012866412";"0.41";"2025-02-20 00:00:00"
"AKO Capital LLP";"Randstad N.V.";"NL0000379121";"0.75";"2025-02-19 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Just Eat Takeaway.com N.V.";"NL0012015705";"1.60";"2025-02-19 00:00:00"
"Capital Fund Management S.A.";"Just Eat Takeaway.com N.V.";"NL0012015705";"0.58";"2025-02-19 00:00:00"
"Citadel Advisors LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.70";"2025-02-19 00:00:00"
"Marshall Wace LLP";"Koninklijke KPN N.V.";"NL0000009082";"0.48";"2025-02-19 00:00:00"
"WorldQuant, LLC";"Alfen N.V.";"NL0012817175";"0.46";"2025-02-19 00:00:00"
"Citadel Advisors LLC";"OCI N.V.";"NL0010558797";"0.58";"2025-02-18 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TKH Group N.V.";"NL0000852523";"0.58";"2025-02-18 00:00:00"
"Millennium Capital Partners LLP";"Alfen N.V.";"NL0012817175";"0.59";"2025-02-18 00:00:00"
"WorldQuant, LLC";"Alfen N.V.";"NL0012817175";"0.50";"2025-02-18 00:00:00"
"D. E. Shaw & Co., L.P.";"AMG Critical Materials N.V.";"NL0000888691";"0.79";"2025-02-17 00:00:00"
"D. E. Shaw & Co., L.P.";"Just Eat Takeaway.com N.V.";"NL0012015705";"2.11";"2025-02-17 00:00:00"
"Marshall Wace LLP";"Galapagos NV";"BE0003818359";"0.58";"2025-02-17 00:00:00"
