"Position date","Change Position Date",Issuer,ISIN,"Position holder","Net short position"
13/04/2021,15/04/2021,"MITHRA PHARMACEUTICALS",BE0974283153,"HIGHBRIDGE CAPITAL MANAGEMENT, LLC","1,52"
13/04/2021,14/04/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,70"
12/04/2021,13/04/2021,"MITHRA PHARMACEUTICALS",BE0974283153,"HIGHBRIDGE CAPITAL MANAGEMENT, LLC","1,45"
12/04/2021,13/04/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,69"
12/04/2021,13/04/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,92"
12/04/2021,16/04/2021,EURONAV,BE0003816338,"PDT Partners, LLC","0,70"
12/04/2021,29/04/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,71"
09/04/2021,12/04/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,82"
09/04/2021,14/04/2021,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","1,16"
08/04/2021,12/04/2021,"MITHRA PHARMACEUTICALS",BE0974283153,"HIGHBRIDGE CAPITAL MANAGEMENT, LLC","1,21"
06/04/2021,09/04/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,70"
06/04/2021,08/04/2021,"MITHRA PHARMACEUTICALS",BE0974283153,"HIGHBRIDGE CAPITAL MANAGEMENT, LLC","1,13"
01/04/2021,09/04/2021,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","1,29"
31/03/2021,09/06/2021,SOLVAY,BE0003470755,"Point72 Europe (London) LLP","0,50"
31/03/2021,06/04/2021,"MITHRA PHARMACEUTICALS",BE0974283153,"HIGHBRIDGE CAPITAL MANAGEMENT, LLC","1,06"
30/03/2021,31/03/2021,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","0,56"
30/03/2021,19/04/2021,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,80"
30/03/2021,06/04/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,63"
30/03/2021,31/03/2021,"MITHRA PHARMACEUTICALS",BE0974283153,"HIGHBRIDGE CAPITAL MANAGEMENT, LLC","0,94"
29/03/2021,30/03/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,59"
26/03/2021,29/03/2021,ARGENX,NL0010832176,"MARSHALL WACE LLP","0,50"
26/03/2021,01/04/2021,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","1,38"
26/03/2021,30/03/2021,"MITHRA PHARMACEUTICALS",BE0974283153,"HIGHBRIDGE CAPITAL MANAGEMENT, LLC","0,81"
25/03/2021,29/03/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,61"
24/03/2021,26/03/2021,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","1,46"
24/03/2021,12/04/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,68"
24/03/2021,25/03/2021,ARGENX,NL0010832176,"MARSHALL WACE LLP","0,50"
22/03/2021,30/03/2021,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,50"
22/03/2021,24/03/2021,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","1,56"
22/03/2021,23/03/2021,ARGENX,NL0010832176,"MARSHALL WACE LLP","0,50"
19/03/2021,26/03/2021,"MITHRA PHARMACEUTICALS",BE0974283153,"HIGHBRIDGE CAPITAL MANAGEMENT, LLC","0,70"
19/03/2021,20/04/2021,SOLVAY,BE0003470755,"Millenium International Management LP","0,50"
19/03/2021,25/03/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,51"
18/03/2021,06/04/2021,ONTEX,BE0974276082,"Systematica Investments Limited","0,50"
17/03/2021,29/03/2021,"ACACIA PHARMA GROUP",GB00BYWF9Y76,"ARMISTICE CAPITAL, LLC","0,90"
16/03/2021,19/03/2021,"MITHRA PHARMACEUTICALS",BE0974283153,"HIGHBRIDGE CAPITAL MANAGEMENT, LLC","0,60"
15/03/2021,30/06/2022,COLRUYT,BE0974256852,"HENGISTBURY INVESTMENT PARTNERS LLP","0,52"
12/03/2021,17/03/2021,"ACACIA PHARMA GROUP",GB00BYWF9Y76,"ARMISTICE CAPITAL, LLC","0,80"
11/03/2021,24/03/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,72"
10/03/2021,12/03/2021,"ACACIA PHARMA GROUP",GB00BYWF9Y76,"ARMISTICE CAPITAL, LLC","0,73"
09/03/2021,16/03/2021,"MITHRA PHARMACEUTICALS",BE0974283153,"HIGHBRIDGE CAPITAL MANAGEMENT, LLC","0,54"
08/03/2021,10/03/2021,"ACACIA PHARMA GROUP",GB00BYWF9Y76,"ARMISTICE CAPITAL, LLC","0,65"
08/03/2021,19/03/2021,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,51"
08/03/2021,15/03/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,53"
08/03/2021,11/03/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,63"
05/03/2021,30/03/2021,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,19"
04/03/2021,15/03/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,59"
03/03/2021,04/03/2021,SOLVAY,BE0003470755,"Point72 Europe (London) LLP","0,50"
02/03/2021,05/03/2021,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,29"
01/03/2021,02/03/2021,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,42"
01/03/2021,18/06/2021,COLRUYT,BE0974256852,"Select Equity Group, L.P.","0,50"
26/02/2021,01/03/2021,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,51"
25/02/2021,26/02/2021,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,65"
24/02/2021,25/03/2021,SOLVAY,BE0003470755,"MILLENNIUM CAPITAL PARTNERS LLP","0,51"
24/02/2021,25/02/2021,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,55"
24/02/2021,25/02/2021,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,75"
23/02/2021,24/02/2021,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,85"
19/02/2021,08/03/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,52"
19/02/2021,24/02/2021,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","2,29"
19/02/2021,01/03/2021,SOLVAY,BE0003470755,"Point72 Europe (London) LLP","0,59"
18/02/2021,04/03/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,68"
18/02/2021,19/02/2021,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","2,42"
17/02/2021,19/02/2021,SOLVAY,BE0003470755,"Point72 Europe (London) LLP","0,67"
17/02/2021,18/02/2021,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","2,97"
16/02/2021,18/02/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,77"
15/02/2021,17/02/2021,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","3,09"
11/02/2021,15/02/2021,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","3,18"
10/02/2021,23/02/2021,SOLVAY,BE0003470755,"MILLENNIUM CAPITAL PARTNERS LLP","0,53"
08/02/2021,16/02/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,89"
04/02/2021,11/02/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,59"
04/02/2021,11/02/2021,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","3,20"
04/02/2021,08/02/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,94"
03/02/2021,04/02/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,88"
02/02/2021,04/02/2021,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","3,39"
01/02/2021,02/02/2021,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","3,46"
01/02/2021,22/03/2021,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","1,66"
29/01/2021,16/02/2021,UMICORE,BE0974320526,"CITADEL EUROPE LLP","0,50"
28/01/2021,12/04/2021,EURONAV,BE0003816338,"PDT Partners, LLC","0,69"
27/01/2021,01/02/2021,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","1,78"
27/01/2021,03/02/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,90"
27/01/2021,16/02/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,61"
26/01/2021,27/01/2021,UMICORE,BE0974320526,"MAVERICK CAPITAL, LTD.","0,58"
25/01/2021,23/02/2021,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,94"
25/01/2021,28/01/2021,ARGENX,NL0010832176,"MARSHALL WACE LLP","0,50"
25/01/2021,26/01/2021,UMICORE,BE0974320526,"MAVERICK CAPITAL, LTD.","0,63"
22/01/2021,27/01/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,81"
22/01/2021,25/01/2021,UMICORE,BE0974320526,"MAVERICK CAPITAL, LTD.","0,75"
21/01/2021,25/01/2021,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,83"
21/01/2021,22/01/2021,UMICORE,BE0974320526,"MAVERICK CAPITAL, LTD.","0,91"
21/01/2021,17/02/2021,SOLVAY,BE0003470755,"Point72 Europe (London) LLP","0,70"
21/01/2021,22/01/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,79"
18/01/2021,21/01/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,80"
15/01/2021,21/01/2021,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,70"
15/01/2021,18/01/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,79"
14/01/2021,27/01/2021,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","1,81"
14/01/2021,15/01/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,80"
13/01/2021,15/01/2021,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,61"
11/01/2021,28/01/2021,EURONAV,BE0003816338,"PDT Partners, LLC","0,73"
08/01/2021,13/01/2021,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,51"
08/01/2021,11/01/2021,EURONAV,BE0003816338,"PDT Partners, LLC","0,68"
07/01/2021,14/01/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,79"
06/01/2021,04/02/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,61"
06/01/2021,08/01/2021,EURONAV,BE0003816338,"PDT Partners, LLC","0,71"
06/01/2021,21/01/2021,SOLVAY,BE0003470755,"Point72 Europe (London) LLP","0,61"
05/01/2021,14/01/2021,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","1,70"
04/01/2021,06/01/2021,SOLVAY,BE0003470755,"Point72 Europe (London) LLP","0,50"
30/12/2020,07/01/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,80"
29/12/2020,06/01/2021,EURONAV,BE0003816338,"PDT Partners, LLC","0,69"
28/12/2020,29/12/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,70"
28/12/2020,06/01/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,51"
23/12/2020,30/12/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,73"
23/12/2020,28/12/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,69"
22/12/2020,05/01/2021,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","1,60"
21/12/2020,23/12/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,70"
18/12/2020,23/12/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,52"
18/12/2020,30/12/2023,BIOCARTIS,BE0974281132,"CITADEL EUROPE LLP","1,00"
18/12/2020,02/06/2021,"MITHRA PHARMACEUTICALS",BE0974283153,"CITADEL EUROPE LLP","0,60"
18/12/2020,22/12/2020,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","1,52"
15/12/2020,21/12/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,60"
11/12/2020,27/01/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,55"
10/12/2020,18/12/2020,"MITHRA PHARMACEUTICALS",BE0974283153,"CITADEL EUROPE LLP","0,53"
09/12/2020,30/12/2020,KINEPOLIS,BE0974274061,"Voleon Capital Management LP","0,51"
09/12/2020,18/12/2020,BIOCARTIS,BE0974281132,"CITADEL EUROPE LLP","2,08"
08/12/2020,10/12/2020,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,50"
02/12/2020,21/06/2021,KINEPOLIS,BE0974274061,"Skye Global Mangement LP","0,50"
02/12/2020,21/01/2021,UMICORE,BE0974320526,"MAVERICK CAPITAL, LTD.","1,00"
30/11/2020,01/12/2020,MELEXIS,BE0165385973,"Odey Asset Management LLP","0,56"
27/11/2020,30/11/2020,MELEXIS,BE0165385973,"Odey Asset Management LLP","0,62"
26/11/2020,30/11/2020,"TELENET GROUP HOLDING",BE0003826436,"Millenium International Management LP","1,10"
25/11/2020,26/11/2020,"TELENET GROUP HOLDING",BE0003826436,"Millenium International Management LP","1,02"
24/11/2020,25/11/2020,"TELENET GROUP HOLDING",BE0003826436,"Millenium International Management LP","0,93"
23/11/2020,24/11/2020,"TELENET GROUP HOLDING",BE0003826436,"Millenium International Management LP","0,83"
20/11/2020,24/11/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,58"
20/11/2020,15/12/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,58"
20/11/2020,26/11/2020,GREENYARD,BE0003765790,"Whitebox Advisors LLP","0,59"
19/11/2020,23/11/2020,"TELENET GROUP HOLDING",BE0003826436,"Millenium International Management LP","0,71"
18/11/2020,20/11/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,66"
17/11/2020,20/11/2020,GREENYARD,BE0003765790,"Whitebox Advisors LLP","0,64"
16/11/2020,27/11/2020,SOLVAY,BE0003470755,"Point72 Europe (London) LLP","0,57"
13/11/2020,19/11/2020,"TELENET GROUP HOLDING",BE0003826436,"Millenium International Management LP","0,60"
12/11/2020,18/11/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,78"
12/11/2020,20/11/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,61"
11/11/2020,01/02/2021,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","3,50"
09/11/2020,11/11/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","3,42"
09/11/2020,16/11/2020,SOLVAY,BE0003470755,"Point72 Europe (London) LLP","0,61"
06/11/2020,12/11/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,85"
06/11/2020,12/11/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,59"
05/11/2020,09/11/2020,KINEPOLIS,BE0974274061,"ThornTree Capital Partners LP","0,78"
05/11/2020,09/11/2020,SOLVAY,BE0003470755,"Point72 Europe (London) LLP","0,54"
05/11/2020,13/11/2020,"TELENET GROUP HOLDING",BE0003826436,"Millenium International Management LP","0,50"
03/11/2020,27/01/2021,EURONAV,BE0003816338,"AHL Partners LLP","0,50"
03/11/2020,06/11/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,68"
02/11/2020,09/11/2020,KINEPOLIS,BE0974274061,"Skye Global Mangement LP","0,51"
29/10/2020,05/11/2020,KINEPOLIS,BE0974274061,"ThornTree Capital Partners LP","0,98"
27/10/2020,06/11/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,70"
27/10/2020,29/12/2020,ARGENX,NL0010832176,"MARSHALL WACE LLP","0,58"
23/10/2020,27/10/2020,SOLVAY,BE0003470755,"Point72 Europe (London) LLP","0,56"
22/10/2020,27/10/2020,ARGENX,NL0010832176,"MARSHALL WACE LLP","0,64"
22/10/2020,17/11/2020,GREENYARD,BE0003765790,"Whitebox Advisors LLP","0,75"
22/10/2020,27/10/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,64"
22/10/2020,23/06/2023,AEDIFICA,BE0003851681,"GUEVOURA FUND LIMITED","0,93"
21/10/2020,27/10/2020,KINEPOLIS,BE0974274061,"Parian Global Management LP","0,68"
21/10/2020,29/10/2020,KINEPOLIS,BE0974274061,"ThornTree Capital Partners LP","0,80"
21/10/2020,22/10/2020,AEDIFICA,BE0003851681,"GUEVOURA FUND LIMITED","0,77"
20/10/2020,21/10/2020,AEDIFICA,BE0003851681,"GUEVOURA FUND LIMITED","0,54"
19/10/2020,21/10/2020,KINEPOLIS,BE0974274061,"ThornTree Capital Partners LP","0,63"
16/10/2020,27/10/2020,ARGENX,NL0010832176,"CITADEL ADVISORS LLC","0,58"
15/10/2020,16/10/2020,ARGENX,NL0010832176,"CITADEL ADVISORS LLC","0,60"
14/10/2020,21/10/2020,KINEPOLIS,BE0974274061,"Parian Global Management LP","0,70"
13/10/2020,14/10/2020,KINEPOLIS,BE0974274061,"Parian Global Management LP","0,63"
13/10/2020,15/10/2020,ARGENX,NL0010832176,"CITADEL ADVISORS LLC","0,59"
08/10/2020,22/10/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,59"
06/10/2020,23/10/2020,SOLVAY,BE0003470755,"Point72 Europe (London) LLP","0,60"
06/10/2020,09/12/2020,BIOCARTIS,BE0974281132,"CITADEL EUROPE LLP","2,27"
05/10/2020,14/10/2020,SOLVAY,BE0003470755,"CITADEL EUROPE LLP","0,59"
30/09/2020,08/10/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,65"
29/09/2020,30/09/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,70"
28/09/2020,03/11/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,71"
24/09/2020,06/10/2020,SOLVAY,BE0003470755,"Point72 Europe (London) LLP","0,51"
24/09/2020,09/11/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","3,30"
23/09/2020,02/12/2020,UMICORE,BE0974320526,"MAVERICK CAPITAL, LTD.","0,94"
22/09/2020,05/10/2020,SOLVAY,BE0003470755,"CITADEL EUROPE LLP","0,60"
21/09/2020,28/09/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,60"
18/09/2020,24/09/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","3,20"
18/09/2020,22/10/2020,ARGENX,NL0010832176,"MARSHALL WACE LLP","0,71"
17/09/2020,18/09/2020,"EVS BROADCAST",BE0003820371,"Millenium International Management LP","0,83"
16/09/2020,18/09/2020,IBA,BE0003766806,"Millenium International Management LP","0,53"
16/09/2020,18/09/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","3,11"
15/09/2020,21/09/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,59"
15/09/2020,17/09/2020,"EVS BROADCAST",BE0003820371,"Millenium International Management LP","0,75"
14/09/2020,18/12/2020,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","1,30"
10/09/2020,15/09/2020,"EVS BROADCAST",BE0003820371,"Millenium International Management LP","0,60"
09/09/2020,16/09/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","3,00"
08/09/2020,10/09/2020,"EVS BROADCAST",BE0003820371,"Millenium International Management LP","0,52"
08/09/2020,18/09/2020,ARGENX,NL0010832176,"MARSHALL WACE LLP","0,60"
08/09/2020,29/09/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,62"
08/09/2020,22/09/2020,SOLVAY,BE0003470755,"CITADEL EUROPE LLP","0,50"
04/09/2020,09/09/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","2,92"
04/09/2020,13/10/2020,ARGENX,NL0010832176,"CITADEL ADVISORS LLC","0,64"
03/09/2020,04/09/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","2,63"
02/09/2020,08/09/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,52"
02/09/2020,04/09/2020,ARGENX,NL0010832176,"CITADEL ADVISORS LLC","0,50"
01/09/2020,08/09/2020,ARGENX,NL0010832176,"MARSHALL WACE LLP","0,50"
31/08/2020,03/09/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","2,30"
28/08/2020,14/09/2020,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","1,40"
27/08/2020,28/08/2020,ARGENX,NL0010832176,"CITADEL ADVISORS LLC","0,50"
26/08/2020,23/09/2020,UMICORE,BE0974320526,"MAVERICK CAPITAL, LTD.","0,86"
26/08/2020,31/08/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","2,27"
21/08/2020,28/08/2020,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","1,21"
13/08/2020,21/08/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,59"
12/08/2020,15/09/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,78"
11/08/2020,26/08/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","2,10"
07/08/2020,06/10/2020,BIOCARTIS,BE0974281132,"CITADEL EUROPE LLP","2,39"
06/08/2020,07/08/2020,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,52"
05/08/2020,13/08/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,69"
05/08/2020,20/08/2020,KINEPOLIS,BE0974274061,"Parian Global Management LP","0,53"
04/08/2020,05/08/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,77"
03/08/2020,06/08/2020,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,77"
31/07/2020,03/08/2020,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,80"
30/07/2020,21/08/2020,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","1,11"
30/07/2020,04/08/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,89"
29/07/2020,30/07/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,96"
29/07/2020,31/07/2020,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,75"
28/07/2020,31/07/2020,EURONAV,BE0003816338,"Capital Fund Management SA","0,57"
27/07/2020,29/07/2020,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,80"
24/07/2020,29/07/2020,EURONAV,BE0003816338,"WorldQuant, LLC","1,08"
23/07/2020,26/08/2020,UMICORE,BE0974320526,"MAVERICK CAPITAL, LTD.","0,71"
23/07/2020,11/09/2020,UMICORE,BE0974320526,"AQR CAPITAL MANAGEMENT, LLC","0,59"
22/07/2020,24/07/2020,EURONAV,BE0003816338,"WorldQuant, LLC","1,10"
21/07/2020,28/07/2020,EURONAV,BE0003816338,"Capital Fund Management SA","0,67"
20/07/2020,27/07/2020,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,73"
20/07/2020,22/07/2020,EURONAV,BE0003816338,"WorldQuant, LLC","1,01"
15/07/2020,21/07/2020,EURONAV,BE0003816338,"Capital Fund Management SA","0,78"
15/07/2020,20/07/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,90"
15/07/2020,20/07/2020,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,69"
14/07/2020,12/08/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,80"
10/07/2020,15/07/2020,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,73"
09/07/2020,10/07/2020,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,80"
09/07/2020,15/07/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,82"
08/07/2020,14/07/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,78"
07/07/2020,09/07/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,71"
06/07/2020,09/07/2020,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,60"
03/07/2020,06/07/2020,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,52"
02/07/2020,15/07/2020,EURONAV,BE0003816338,"Capital Fund Management SA","0,80"
01/07/2020,08/07/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,87"
01/07/2020,02/07/2020,BARCO,BE0974362940,"MARBLE BAR ASSET MANAGEMENT LLP","1,38"
01/07/2020,23/07/2020,UMICORE,BE0974320526,"MAVERICK CAPITAL, LTD.","0,51"
30/06/2020,07/07/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,64"
30/06/2020,11/08/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","2,00"
30/06/2020,02/07/2020,EURONAV,BE0003816338,"Capital Fund Management SA","0,72"
30/06/2020,01/07/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,90"
29/06/2020,30/06/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,90"
29/06/2020,30/06/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,89"
26/06/2020,30/06/2020,EURONAV,BE0003816338,"Capital Fund Management SA","0,64"
25/06/2020,03/05/2021,"CELYAD ONCOLOGY",BE0974260896,"ARMISTICE CAPITAL, LLC","1,68"
25/06/2020,30/06/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,58"
25/06/2020,29/06/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,90"
25/06/2020,29/06/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,85"
24/06/2020,25/06/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,70"
24/06/2020,30/07/2020,SOLVAY,BE0003470755,"MARSHALL WACE LLP","0,52"
23/06/2020,25/06/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,60"
22/06/2020,23/07/2020,UMICORE,BE0974320526,"AQR CAPITAL MANAGEMENT, LLC","0,69"
19/06/2020,24/06/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,61"
19/06/2020,23/06/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,53"
17/06/2020,27/11/2020,MELEXIS,BE0165385973,"Odey Asset Management LLP","0,76"
17/06/2020,25/06/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,80"
17/06/2020,19/06/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,53"
16/06/2020,17/06/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,46"
16/06/2020,17/06/2020,MELEXIS,BE0165385973,"Odey Asset Management LLP","0,88"
16/06/2020,18/06/2020,EURONAV,BE0003816338,"WorldQuant, LLC","0,51"
16/06/2020,26/06/2020,EURONAV,BE0003816338,"Capital Fund Management SA","0,51"
15/06/2020,17/06/2020,BARCO,BE0974362940,"SCGE Management, L.P.","0,56"
15/06/2020,17/06/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,70"
12/06/2020,15/06/2020,BARCO,BE0974362940,"SCGE Management, L.P.","0,67"
12/06/2020,16/06/2020,ONTEX,BE0974276082,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,31"
12/06/2020,15/06/2020,EURONAV,BE0003816338,"PDT Partners, LLC","0,60"
