"Position date","Change Position Date",Issuer,ISIN,"Position holder","Net short position"
06/01/2022,21/01/2022,COLRUYT,BE0974256852,"MARSHALL WACE LLP","0,59"
06/01/2022,26/01/2022,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,68"
05/01/2022,06/01/2022,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,70"
04/01/2022,09/02/2022,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,98"
04/01/2022,10/02/2022,BARCO,BE0003790079,"PARK WEST ASSET MANAGEMENT LLC","0,73"
04/01/2022,05/01/2022,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,66"
03/01/2022,28/01/2022,"MITHRA PHARMACEUTICALS",BE0974283153,"CITADEL EUROPE LLP","0,57"
03/01/2022,11/01/2022,EURONAV,BE0003816338,"WorldQuant, LLC","1,14"
29/12/2021,21/01/2022,BPOST,BE0974268972,"Voleon Capital Management LP","0,59"
29/12/2021,03/01/2022,EURONAV,BE0003816338,"WorldQuant, LLC","1,02"
24/12/2021,14/02/2022,"ELIA GROUP",BE0003822393,"MILLENNIUM CAPITAL PARTNERS LLP","0,60"
23/12/2021,04/01/2022,BARCO,BE0974362940,"PARK WEST ASSET MANAGEMENT LLC","0,69"
22/12/2021,23/12/2021,BARCO,BE0974362940,"PARK WEST ASSET MANAGEMENT LLC","0,59"
21/12/2021,29/12/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,91"
20/12/2021,06/01/2022,COLRUYT,BE0974256852,"MARSHALL WACE LLP","0,61"
15/12/2021,20/12/2021,COLRUYT,BE0974256852,"MARSHALL WACE LLP","0,51"
15/12/2021,04/01/2022,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,59"
15/12/2021,22/12/2021,ONTEX,BE0974276082,"CITADEL ADVISORS LLC","0,52"
15/12/2021,21/12/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,82"
15/12/2021,24/02/2022,SOLVAY,BE0003470755,"Sandbar Asset Management LLP","0,51"
14/12/2021,15/12/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,61"
08/12/2021,28/02/2022,UMICORE,BE0974320526,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","0,83"
08/12/2021,14/12/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,68"
