Position Holder,Issuer,ISIN,Position Date,Net Short Position (%),Reporting Date,Cancellation Date
Naya Capital Management UK Limited,Andritz AG,AT0000730007,2022-11-04,0.55,2022-11-07,
Naya Capital Management UK Limited,Andritz AG,AT0000730007,2022-06-30,0.69,2022-07-01,
Naya Capital Management UK Limited,Andritz AG,AT0000730007,2022-04-05,0.74,2022-04-06,
Naya Capital Management UK Limited,Andritz AG,AT0000730007,2022-04-04,0.69,2022-04-05,
Naya Capital Management UK Limited,Andritz AG,AT0000730007,2022-04-01,0.59,2022-04-04,
Otus Capital Management,Andritz AG,AT0000730007,2023-10-02,0.1,2023-10-03,
Otus Capital Management,Andritz AG,AT0000730007,2023-07-27,0.9,2023-07-28,
Pantechnicon Advisors LLP,Wienerberger AG,AT0000831706,2024-01-24,0.49,2024-01-25,
Pantechnicon Advisors LLP,Wienerberger AG,AT0000831706,2024-01-17,0.59,2024-01-18,
Pantechnicon Advisors LLP,Wienerberger AG,AT0000831706,2024-01-16,0.64,2024-01-17,
Pantechnicon Advisors LLP,Wienerberger AG,AT0000831706,2024-01-12,0.76,2024-01-15,
Pantechnicon Advisors LLP,Wienerberger AG,AT0000831706,2024-01-03,0.8,2024-01-04,
Pantechnicon Advisors LLP,Wienerberger AG,AT0000831706,2023-11-22,0.79,2023-11-23,
Pantechnicon Advisors LLP,Wienerberger AG,AT0000831706,2023-11-10,0.85,2023-11-13,
Pantechnicon Advisors LLP,Wienerberger AG,AT0000831706,2023-10-31,0.7,2023-11-01,
Pantechnicon Advisors LLP,Wienerberger AG,AT0000831706,2023-10-30,0.69,2023-10-31,
Pelham Global Financials Ltd,Raiffeisen Bank International AG,AT0000606306,2022-05-12,0.43,2022-05-13,
Pelham Global Financials Ltd,Raiffeisen Bank International AG,AT0000606306,2022-05-06,0.55,2022-05-09,
Pelham Global Financials Ltd,Raiffeisen Bank International AG,AT0000606306,2022-04-07,0.62,2022-04-08,
Pelham Global Financials Ltd,Raiffeisen Bank International AG,AT0000606306,2022-03-08,0.52,2022-03-09,
Petrus Advisers Ltd.,BAWAG Group AG,AT0000BAWAG2,2023-09-21,0.39,2023-09-22,
Petrus Advisers Ltd.,BAWAG Group AG,AT0000BAWAG2,2023-09-20,0.52,2023-09-21,
Petrus Advisers Ltd.,BAWAG Group AG,AT0000BAWAG2,2023-07-14,0.32,2023-07-17,
Petrus Advisers Ltd.,BAWAG Group AG,AT0000BAWAG2,2023-07-06,0.52,2023-07-07,
Pictet Asset Management SA,voestalpine AG,AT0000937503,2020-10-22,0.47,2020-10-23,
Pictet Asset Management SA,voestalpine AG,AT0000937503,2020-09-17,0.56,2020-09-18,
Pictet Asset Management SA,voestalpine AG,AT0000937503,2020-08-12,0.69,2020-08-13,
Pictet Asset Management SA,voestalpine AG,AT0000937503,2020-08-04,0.79,2020-08-05,
Pictet Asset Management SA,voestalpine AG,AT0000937503,2020-07-15,0.84,2020-07-16,
Pictet Asset Management SA,voestalpine AG,AT0000937503,2020-06-25,1.09,2020-06-26,
Pictet Asset Management SA,voestalpine AG,AT0000937503,2020-06-24,1.12,2020-06-25,
Pictet Asset Management SA,voestalpine AG,AT0000937503,2020-06-04,1.2,2020-06-15,
Pictet Asset Management SA,voestalpine AG,AT0000937503,2020-06-04,1.2,2020-06-05,2020-06-15
Pictet Asset Management SA,voestalpine AG,AT0000937503,2020-05-01,1.37,2020-05-26,
"Point72 Asset Management, L.P.",AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2023-03-17,0.48,2023-03-20,
"Point72 Asset Management, L.P.",AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2023-03-06,0.59,2023-03-07,
"Point72 Asset Management, L.P.",AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2023-02-28,0.67,2023-03-01,
"Point72 Asset Management, L.P.",AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2023-01-31,0.79,2023-02-01,
"Point72 Asset Management, L.P.",AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2022-11-07,0.82,2022-11-08,
"Point72 Asset Management, L.P.",AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2022-11-04,0.75,2022-11-07,
"Point72 Asset Management, L.P.",AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2022-11-02,0.67,2022-11-03,
"Point72 Asset Management, L.P.",AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2022-07-21,0.7,2022-07-22,
"Point72 Asset Management, L.P.",AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2022-07-08,0.63,2022-07-10,
"Point72 Asset Management, L.P.",AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2022-07-01,0.55,2022-07-04,
"Point72 Asset Management, L.P.",Wienerberger AG,AT0000831706,2025-04-15,0.49,2025-04-16,
"Point72 Asset Management, L.P.",Wienerberger AG,AT0000831706,2025-03-21,0.5,2025-03-24,
Point72 Europe (London) LLP,Wienerberger AG,AT0000831706,2025-02-26,0.42,2025-02-27,
Point72 Europe (London) LLP,Wienerberger AG,AT0000831706,2025-02-17,0.64,2025-02-18,
Point72 Europe (London) LLP,Wienerberger AG,AT0000831706,2025-02-14,0.8,2025-02-17,
Point72 Europe (London) LLP,Wienerberger AG,AT0000831706,2024-12-30,0.93,2024-12-31,
Point72 Europe (London) LLP,Wienerberger AG,AT0000831706,2024-12-20,0.82,2024-12-23,
Point72 Europe (London) LLP,Wienerberger AG,AT0000831706,2024-11-12,0.77,2024-11-13,
Point72 Europe (London) LLP,Wienerberger AG,AT0000831706,2024-10-15,0.62,2024-10-16,
Point72 Europe (London) LLP,Wienerberger AG,AT0000831706,2024-09-27,0.53,2024-09-30,
Point72 Europe (London) LLP,Wienerberger AG,AT0000831706,2024-08-01,0.38,2024-08-02,
Point72 Europe (London) LLP,Wienerberger AG,AT0000831706,2024-07-17,0.5,2024-07-18,
QUARTYS Limited,PORR AG,AT0000609607,2021-11-08,0.49,2021-11-09,
QUARTYS Limited,PORR AG,AT0000609607,2021-11-02,0.74,2021-11-03,
QUARTYS Limited,PORR AG,AT0000609607,2021-11-01,0.69,2021-11-02,
QUARTYS Limited,PORR AG,AT0000609607,2021-10-29,0.55,2021-11-01,
Qube Research & Technologies Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2025-04-03,0.0,2025-04-04,
Qube Research & Technologies Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2025-03-17,1.29,2025-03-18,
Qube Research & Technologies Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2025-03-03,1.3,2025-03-04,
Qube Research & Technologies Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2025-02-28,1.28,2025-03-03,
Qube Research & Technologies Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2025-01-31,1.5,2025-02-03,
Qube Research & Technologies Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2025-01-09,1.4,2025-01-10,
Qube Research & Technologies Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2025-01-02,1.3,2025-01-03,
Qube Research & Technologies Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2024-12-20,1.21,2024-12-23,
Qube Research & Technologies Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2024-12-18,1.17,2024-12-19,
Qube Research & Technologies Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2024-12-05,1.02,2024-12-06,
Qube Research & Technologies Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2024-12-04,0.99,2024-12-05,
Qube Research & Technologies Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2024-12-03,1.0,2024-12-04,
Qube Research & Technologies Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2024-11-25,0.9,2024-11-26,
Qube Research & Technologies Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2024-01-02,1.3,2025-01-03,2025-01-03
Qube Research & Technologies Limited,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2025-01-21,0.0,2025-01-22,
Qube Research & Technologies Limited,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-12-09,0.89,2024-12-10,
Qube Research & Technologies Limited,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-12-06,0.9,2024-12-09,
Qube Research and Technologies,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2024-11-19,0.81,2024-11-20,
Qube Research and Technologies,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2024-09-26,0.7,2024-09-27,
Qube Research and Technologies,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2024-08-01,0.62,2024-08-02,
Qube Research and Technologies,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2024-07-31,0.59,2024-08-01,
Qube Research and Technologies,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2024-07-19,0.6,2024-07-22,
Qube Research and Technologies,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2024-06-17,0.5,2024-06-18,
Qube Research and Technologies,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-11-12,0.8,2024-11-13,
Qube Research and Technologies,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-10-31,0.79,2024-11-01,
Qube Research and Technologies,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-10-23,0.8,2024-10-24,
Qube Research and Technologies,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-10-08,0.71,2024-10-09,
Qube Research and Technologies,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-10-04,0.61,2024-10-04,2024-10-04
Qube Research and Technologies,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-10-03,0.61,2024-10-04,
Qube Research and Technologies,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-10-01,0.54,2024-10-02,
Qube Research and Technologies,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-09-23,0.47,2024-09-24,
Qube Research and Technologies,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-09-20,0.51,2024-09-23,
Qube Research and Technologies,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-09-18,0.49,2024-09-19,
Qube Research and Technologies,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-09-13,0.57,2024-09-16,
Qube Research and Technologies,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-09-12,0.61,2024-09-13,
Qube Research and Technologies,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-09-11,0.59,2024-09-12,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-07-31,0.42,2024-08-01,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-07-24,0.58,2024-07-25,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-07-23,0.6,2024-07-24,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-07-22,0.59,2024-07-23,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-07-03,0.67,2024-07-04,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-06-26,0.77,2024-06-27,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-06-24,0.85,2024-06-25,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-06-21,0.9,2024-06-24,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-06-13,0.83,2024-06-14,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-06-06,0.71,2024-06-07,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-05-29,0.61,2024-05-30,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-05-17,0.51,2024-05-20,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-05-16,0.49,2024-05-17,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-05-10,0.53,2024-05-13,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-05-09,0.48,2024-05-10,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-05-08,0.5,2024-05-09,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-03-14,0.49,2024-03-15,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-03-04,0.59,2024-03-05,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-01-30,0.6,2024-01-31,
Qube Research and Technologies,Wienerberger AG,AT0000831706,2024-01-29,0.52,2024-01-30,
Rye Bay Capital LLP,Lenzing Aktiengesellschaft,AT0000644505,2021-01-13,0.43,2021-01-14,
Rye Bay Capital LLP,Lenzing Aktiengesellschaft,AT0000644505,2021-01-12,0.51,2021-01-13,
Rye Bay Capital LLP,Lenzing Aktiengesellschaft,AT0000644505,2020-12-16,0.69,2020-12-17,
Rye Bay Capital LLP,Lenzing Aktiengesellschaft,AT0000644505,2020-12-14,0.79,2020-12-15,
Rye Bay Capital LLP,Lenzing Aktiengesellschaft,AT0000644505,2020-10-30,0.82,2020-11-02,
Rye Bay Capital LLP,Lenzing Aktiengesellschaft,AT0000644505,2020-10-29,0.93,2020-10-30,
Rye Bay Capital LLP,Lenzing Aktiengesellschaft,AT0000644505,2020-10-28,1.1,2020-10-29,
Rye Bay Capital LLP,PORR AG,AT0000609607,2021-05-04,0.47,2021-05-05,
Rye Bay Capital LLP,PORR AG,AT0000609607,2021-05-03,0.74,2021-05-04,
Rye Bay Capital LLP,PORR AG,AT0000609607,2021-04-28,0.87,2021-04-29,
Rye Bay Capital LLP,PORR AG,AT0000609607,2021-04-27,0.9,2021-04-28,
Rye Bay Capital LLP,PORR AG,AT0000609607,2021-04-26,1.05,2021-04-27,
Rye Bay Capital LLP,PORR AG,AT0000609607,2021-04-12,1.4,2021-04-13,
Rye Bay Capital LLP,PORR AG,AT0000609607,2021-04-08,1.68,2021-04-09,
Rye Bay Capital LLP,PORR AG,AT0000609607,2021-04-06,1.73,2021-04-07,
Sandbar Asset Management,Andritz AG,AT0000730007,2020-10-19,0.44,2020-10-20,
Sandbar Asset Management,Andritz AG,AT0000730007,2020-10-13,0.56,2020-10-14,
Sandbar Asset Management,Andritz AG,AT0000730007,2020-10-07,0.66,2020-10-08,
Sandbar Asset Management,Andritz AG,AT0000730007,2020-10-05,0.7,2020-10-06,
Sandbar Asset Management,Andritz AG,AT0000730007,2020-09-30,0.62,2020-10-01,
Sandbar Asset Management,Andritz AG,AT0000730007,2020-09-29,0.59,2020-09-30,
Sandbar Asset Management,Andritz AG,AT0000730007,2020-09-24,0.49,2020-09-25,
Sandbar Asset Management,Andritz AG,AT0000730007,2020-09-22,0.5,2020-09-23,
Sandbar Asset Management,Andritz AG,AT0000730007,2020-09-14,0.45,2020-09-15,
Sandbar Asset Management,Andritz AG,AT0000730007,2020-08-31,0.54,2020-09-01,
Sculptor Capital Management Europe Limited,IMMOFINANZ AG,AT0000A21KS2,2022-01-21,0.0,2022-01-24,
Sculptor Capital Management Europe Limited,IMMOFINANZ AG,AT0000A21KS2,2022-01-20,1.1,2022-01-21,
Sculptor Capital Management Europe Limited,IMMOFINANZ AG,AT0000A21KS2,2022-01-06,1.28,2022-01-07,
Sculptor Capital Management Europe Limited,IMMOFINANZ AG,AT0000A21KS2,2021-10-15,0.52,2021-10-18,
Sculptor Capital Management Europe Limited,IMMOFINANZ AG,AT0000A21KS2,2021-09-08,0.48,2021-09-09,
Sculptor Capital Management Europe Limited,IMMOFINANZ AG,AT0000A21KS2,2021-08-31,0.5,2021-09-01,
"SIH Partners, LLLP",CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-03-20,0.0,2024-03-21,
"SIH Partners, LLLP",CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-03-19,0.53,2024-03-20,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-10-01,0.49,2024-10-02,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-09-23,0.58,2024-09-24,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-09-20,0.61,2024-09-23,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-09-19,0.87,2024-09-20,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-09-17,0.26,2024-09-18,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-09-16,0.74,2024-09-17,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-09-13,0.69,2024-09-16,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-09-12,0.7,2024-09-13,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-09-11,0.61,2024-09-12,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-09-10,0.71,2024-09-11,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-09-09,0.65,2024-09-10,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-09-06,0.76,2024-09-09,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-09-04,0.61,2024-09-05,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-08-02,0.75,2024-08-05,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-07-26,0.61,2024-07-29,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-07-23,0.56,2024-07-24,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-07-19,0.6,2024-07-22,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-07-17,0.57,2024-07-18,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-07-09,0.62,2024-07-10,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-07-03,0.51,2024-07-04,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-07-02,0.47,2024-07-03,
"SIH Partners, LLLP",IMMOFINANZ AG,AT0000A21KS2,2024-07-01,0.5,2024-07-02,
Susquehanna International Group Limited,Wienerberger AG,AT0000831706,2024-06-24,0.0,2024-06-24,
Susquehanna International Group Limited,Wienerberger AG,AT0000831706,2024-06-17,0.51,2024-06-18,
Susquehanna International Group Limited,Wienerberger AG,AT0000831706,2024-06-14,0.49,2024-06-17,
Susquehanna International Group Limited,Wienerberger AG,AT0000831706,2024-06-13,0.68,2024-06-14,
Susquehanna International Group Limited,Wienerberger AG,AT0000831706,2024-06-12,0.73,2024-06-13,
Susquehanna International Group Limited,Wienerberger AG,AT0000831706,2024-06-06,0.66,2024-06-07,
Susquehanna International Group Limited,Wienerberger AG,AT0000831706,2024-05-27,0.52,2024-05-28,
Susquehanna International Holdings LLC,PORR AG,AT0000609607,2021-11-04,0.0,2021-11-05,
Susquehanna International Holdings LLC,PORR AG,AT0000609607,2021-11-01,0.71,2021-11-02,
Susquehanna International Holdings LLC,PORR AG,AT0000609607,2021-10-29,0.65,2021-11-01,
Susquehanna International Holdings LLC,PORR AG,AT0000609607,2021-10-28,0.56,2021-10-29,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2022-02-25,0.0,2022-02-28,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2022-02-21,2.11,2022-02-22,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2022-02-17,1.93,2022-02-18,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2022-02-07,2.05,2022-02-08,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2022-02-04,1.86,2022-02-07,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2022-02-01,1.75,2022-02-02,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2022-01-28,1.93,2022-01-31,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2022-01-24,1.83,2022-01-25,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2022-01-13,2.04,2022-01-14,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2022-01-12,1.23,2022-01-13,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2022-01-11,1.37,2022-01-12,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2022-01-10,1.28,2022-01-11,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2022-01-06,1.19,2022-01-07,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2022-01-04,1.01,2022-01-05,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2022-01-03,0.7,2022-01-04,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2021-12-29,0.83,2021-12-30,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2021-12-28,0.79,2021-12-29,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2021-12-27,0.81,2021-12-28,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2021-12-23,0.79,2021-12-24,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2021-12-21,0.83,2021-12-22,
Susquehanna International Securities Limited,IMMOFINANZ AG,AT0000A21KS2,2021-12-20,0.72,2021-12-21,
Susquehanna International Securities Limited,Wienerberger AG,AT0000831706,2024-02-09,0.47,2024-02-12,
Susquehanna International Securities Limited,Wienerberger AG,AT0000831706,2024-02-07,0.5,2024-02-08,
Sylebra Capital Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2021-03-19,0.47,2021-03-22,
Sylebra Capital Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2021-01-27,0.57,2021-01-28,
Sylebra Capital Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2021-01-27,0.93,2021-01-27,2021-01-28
Sylebra Capital Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2021-01-26,0.93,2021-01-28,
Sylebra Capital Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2021-01-04,1.12,2021-01-07,
Sylebra Capital Limited,Österreichische Post Aktiengesellschaft,AT0000APOST4,2020-07-03,1.01,2020-07-06,
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-04-30,0.0,2021-05-03,
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-04-14,2.73,2021-04-15,
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-04-09,2.53,2021-04-12,
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-04-01,2.31,2021-04-06,
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-03-31,2.4,2021-04-01,
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-03-31,2.38,2021-03-31,2021-03-31
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-03-30,2.38,2021-03-31,
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-03-26,2.23,2021-03-29,
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-03-19,2.13,2021-03-22,
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-03-16,2.01,2021-03-17,
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-03-03,1.94,2021-03-04,
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-02-12,1.71,2021-02-15,
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-01-27,1.64,2021-01-28,
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-01-26,1.51,2021-01-27,
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-01-21,1.47,2021-01-22,
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-01-20,1.37,2021-01-21,
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-01-15,1.14,2021-01-18,
SYQUANT CAPITAL,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2021-01-14,0.8,2021-01-15,
Syquant Capital,IMMOFINANZ AG,AT0000A21KS2,2022-01-24,0.0,2022-01-25,
Syquant Capital,IMMOFINANZ AG,AT0000A21KS2,2022-01-14,1.31,2022-01-17,
Syquant Capital,IMMOFINANZ AG,AT0000A21KS2,2022-01-13,1.27,2022-01-14,
Syquant Capital,IMMOFINANZ AG,AT0000A21KS2,2022-01-12,1.07,2022-01-13,
Syquant Capital,IMMOFINANZ AG,AT0000A21KS2,2022-01-10,0.91,2022-01-11,
SYQUANT CAPITAL,IMMOFINANZ AG,AT0000A21KS2,2021-12-30,0.73,2021-12-31,
Syquant Capital,IMMOFINANZ AG,AT0000A21KS2,2021-12-21,0.62,2021-12-22,
SYQUANT CAPITAL,IMMOFINANZ AG,AT0000A21KS2,2021-09-16,0.49,2021-09-17,
SYQUANT CAPITAL,IMMOFINANZ AG,AT0000A21KS2,2021-09-13,0.5,2021-09-14,
SYQUANT CAPITAL,IMMOFINANZ AG,AT0000A21KS2,2021-01-26,1.51,2021-01-27,2021-01-27
SYQUANT CAPITAL,IMMOFINANZ AG,AT0000A21KS2,2020-08-07,0.49,2020-08-10,
SYQUANT CAPITAL,IMMOFINANZ AG,AT0000A21KS2,2020-05-21,0.69,2020-05-22,
TFG Asset Management UK LLP,IMMOFINANZ AG,AT0000A21KS2,2022-01-18,0.54,2022-01-19,
TFG Asset Management UK LLP,Telekom Austria Aktiengesellschaft,AT0000720008,2023-06-08,0.45,2023-06-09,
TFG Asset Management UK LLP,Telekom Austria Aktiengesellschaft,AT0000720008,2023-05-16,0.55,2023-05-17,
TT International Asset Management Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2023-04-14,0.46,2023-04-17,
TT International Asset Management Limited,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2022-10-27,0.5,2022-10-28,
Voleon Capital Management LP,DO & CO Aktiengesellschaft,AT0000818802,2020-12-30,0.49,2020-12-31,
Voleon Capital Management LP,DO & CO Aktiengesellschaft,AT0000818802,2020-12-16,0.5,2020-12-17,
Voleon Capital Management LP,DO & CO Aktiengesellschaft,AT0000818802,2020-12-10,0.49,2020-12-11,
Voleon Capital Management LP,DO & CO Aktiengesellschaft,AT0000818802,2020-12-03,0.57,2020-12-04,
Voleon Capital Management LP,DO & CO Aktiengesellschaft,AT0000818802,2020-11-23,0.63,2020-11-24,
Voleon Capital Management LP,DO & CO Aktiengesellschaft,AT0000818802,2020-11-20,0.55,2020-11-21,
Voleon Capital Management LP,DO & CO Aktiengesellschaft,AT0000818802,2020-11-20,0.55,2020-11-20,2020-11-20
Voleon Capital Management LP,Wienerberger AG,AT0000831706,2020-09-14,0.49,2020-09-15,
Voleon Capital Management LP,Wienerberger AG,AT0000831706,2020-09-04,0.51,2020-09-05,
