State,DisclaimerId,PositionHolder,ISIN,Issuer,PositionDate,ShareRate
Active,329871000201503021331220001,"MaverickCapital,Ltd.",HU0000061726,OTPBankrészvény,2015.March1.23:00:00,0.77
Active,329871000201502251842150001,"FirTree,Inc.",HU0000061726,OTPBankrészvény,2015.February24.23:00:00,1.4
Active,329871000201502251508480001,"FirTree,Inc.",HU0000061726,OTPBankrészvény,2015.February24.23:00:00,1.38
Active,329871000201502251209580002,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2015.February24.23:00:00,0.78
Active,329871000201502181810560001,"FirTree,Inc.",HU0000061726,OTPBankrészvény,2015.February17.23:00:00,1.21
Active,329871000201502171927330001,"FirTree,Inc.",HU0000061726,OTPBankrészvény,2015.February16.23:00:00,1.13
Active,329871000201502111321090001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2015.February10.23:00:00,0.85
Active,329871000201502101759270001,"FirTree,Inc.",HU0000061726,OTPBankrészvény,2015.February9.23:00:00,1.01
Active,329871000201502101143410001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2015.February9.23:00:00,0.9
Active,329871000201502091819140001,"FirTree,Inc.",HU0000061726,OTPBankrészvény,2015.February8.23:00:00,0.97
Active,329871000201502091211060001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2015.February8.23:00:00,0.81
Active,329871000201502031801570001,"FirTree,Inc.",HU0000061726,OTPBankrészvény,2015.February2.23:00:00,0.81
Active,329871000201502021844000001,"FirTree,Inc.",HU0000061726,OTPBankrészvény,2015.February1.23:00:00,0.55
Active,329871000201501202237190001,"MaverickCapital,Ltd.",HU0000061726,OTPBankrészvény,2015.January19.23:00:00,0.68
Active,329871000201501160012470001,"MaverickCapital,Ltd.",HU0000061726,OTPBankrészvény,2015.January14.23:00:00,0.58
Active,329871000201501121448510004,LansdownePartners(UK)LLP,HU0000061726,OTPBankrészvény,2015.January11.23:00:00,1.56
Active,329871000201501081241130001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2015.January7.23:00:00,0.7
Active,329871000201501071252580002,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2015.January6.23:00:00,0.69
Active,329871000201501061207190001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2015.January5.23:00:00,0.7
