"Innehavare av positionen 
(Position holder)","Namn på emittent 
(Name of the issuer)",ISIN,Position i procent (Position in per cent),"Datum för positionen 
(Position date)",Kommentar (Comment)
JPMorgan Asset Management (UK) Ltd,Mips AB,SE0009216278,0.68,2025-05-15,
Arrowstreet Capital Limited Partnership,Fabege AB,SE0011166974,0.6,2025-05-15,
JPMorgan Asset Management (UK) Ltd,Boozt AB,SE0009888738,1.38,2025-05-15,
Mirabella Financial Services LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,1.5,2025-05-15,
Qube Research & Technologies Limited,KAMBI GROUP PLC,MT0000780107,0.86,2025-05-15,
Qube Research & Technologies Limited,Surgical Science Sweden AB,SE0014428512,0.92,2025-05-15,
Qube Research & Technologies Limited,Biotage AB,SE0000454746,1.38,2025-05-15,
Marshall Wace LLP,Kinnevik AB,SE0022060521,0.5,2025-05-15,
D E Shaw Co LP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,0.57,2025-05-15,
GSA Capital Partners LLP,Smart Eye Aktiebolag (publ),SE0009268279,0.58,2025-05-15,
GSA Capital Partners LLP,Xbrane Biopharma AB,SE0007789409,0.59,2025-05-15,
D E Shaw Co LP,Aktiebolaget Electrolux,SE0016589188,0.8,2025-05-15,
BlackRock Advisors LLC,Biotage AB,SE0000454746,0.57,2025-05-15,
 Millennium Capital Partners LLP ,Boliden AB,SE0020050417,0.51,2025-05-15,
BlackRock Financial Management Inc,Castellum Aktiebolag,SE0000379190,0.5,2025-05-15,
BlackRock Investment Management (UK) Limited,Embracer Group AB,SE0023615885,2.63,2025-05-15,
AQR Capital Management LLC,Boliden AB,SE0020050417,0.5,2025-05-15,
Samlyn Capital LLC,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,3.97,2025-05-15,
Woodline Partners LP,Camurus AB,SE0007692850,0.63,2025-05-15,
ALCUR FONDER AB,Hemnet Group AB (publ),SE0015671995,0.51,2025-05-14,
Arrowstreet Capital Limited Partnership,Castellum Aktiebolag,SE0000379190,0.7,2025-05-14,
Qube Research & Technologies Limited,Boozt AB,SE0009888738,0.71,2025-05-14,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,0.5,2025-05-14,
Wellington Management International Limited,Fabege AB,SE0011166974,0.72,2025-05-14,
GSA Capital Partners LLP,Tobii AB,SE0002591420,0.58,2025-05-14,
UBS Global Asset Management (UK) Ltd,Hemnet Group AB (publ),SE0015671995,0.51,2025-05-14,
ELEVA CAPITAL S.A.S,BONESUPPORT HOLDING AB,SE0009858152,0.52,2025-05-14,
Argonaut Capital Partners LLP,Hexatronic Group AB,SE0018040677,0.67,2025-05-14,
JPMorgan Asset Management (UK) Ltd,Aktiebolaget Electrolux,SE0016589188,0.81,2025-05-13,
Qube Research & Technologies Limited,Smart Eye Aktiebolag (publ),SE0009268279,1.14,2025-05-13,
Qube Research & Technologies Limited,Instalco AB,SE0017483506,0.59,2025-05-13,
Balyasny Asset Management (UK) LLP,Getinge AB (publ),SE0000202624,0.65,2025-05-13,
BlackRock Investment Management (UK) Limited,Volvo Car AB,SE0021628898,1.43,2025-05-13,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,BioArctic AB,SE0010323311,0.6,2025-05-13,
JPMorgan Asset Management (UK) Ltd,Vitec Software Group AB (publ),SE0007871363,0.88,2025-05-12,
JPMorgan Asset Management (UK) Ltd,NCAB Group AB (publ),SE0017160773,1.18,2025-05-12,
JPMorgan Asset Management (UK) Ltd,Lindab International AB,SE0001852419,0.89,2025-05-12,
JPMorgan Asset Management (UK) Ltd,JM AB,SE0000806994,0.66,2025-05-12,
ALCUR FONDER AB,Troax Group AB (publ),SE0012729366,0.53,2025-05-12,
AQR Capital Management LLC,Embracer Group AB,SE0023615885,0.5,2025-05-12,
Lago Kapital Oy,Eevia Health Plc,FI4000496658,0.8,2025-05-12,
Connor Clark & Lunn Investment Management Ltd.,Fasadgruppen Group AB (publ),SE0015195771,0.68,2025-05-09,
Marshall Wace LLP,Securitas AB,SE0000163594,0.58,2025-05-09,
Systematica Investments Limited,Aktiebolaget Electrolux,SE0016589188,0.7,2025-05-09,
BlackRock Investment Management (UK) Limited,Securitas AB,SE0000163594,1.31,2025-05-09,
Connor Clark & Lunn Investment Management Ltd.,Orrön Energy AB,SE0000825820,0.5,2025-05-08,
Connor Clark & Lunn Investment Management Ltd.,Hexatronic Group AB,SE0018040677,0.61,2025-05-08,
Qube Research & Technologies Limited,RVRC Holding AB,SE0015962485,0.51,2025-05-08,
Citadel Advisors LLC,Fasadgruppen Group AB (publ),SE0015195771,0.64,2025-05-07,
BlackRock Financial Management Inc,Aktiebolaget Electrolux,SE0016589188,0.71,2025-05-07,
BlackRock Institutional Trust Company National Association,Aktiebolaget Electrolux,SE0016589188,0.8,2025-05-07,
Ennismore Fund Management Ltd,Fasadgruppen Group AB (publ),SE0015195771,1.04,2025-05-06,
Systematica Investments Limited,Kinnevik AB,SE0022060521,0.5,2025-05-06,
Brummer Multi-Strategy AB,Hexatronic Group AB,SE0018040677,0.59,2025-05-06,
Walleye Capital LLC,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,0.7,2025-05-06,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Alleima AB,SE0017615644,0.6,2025-05-05,
Brummer Multi-Strategy AB,BONESUPPORT HOLDING AB,SE0009858152,0.72,2025-05-05,
Arrowstreet Capital Limited Partnership,Sdiptech AB (publ),SE0003756758,0.89,2025-05-02,
Wellington Management International Limited,JM AB,SE0000806994,0.54,2025-05-02,
AKO Capital LLP,Husqvarna AB,SE0001662230,0.75,2025-05-02,
Qube Research & Technologies Limited,Lindab International AB,SE0001852419,0.61,2025-05-02,
D E Shaw Co LP,Embracer Group AB,SE0023615885,0.58,2025-05-02,
Spark Investment Management LLC,Hansa Biopharma AB,SE0002148817,0.56,2025-05-02,
BlackRock Investment Management (UK) Limited,Evolution AB (publ),SE0012673267,0.51,2025-04-30,
Marshall Wace LLP,H & M Hennes & Mauritz AB,SE0000106270,0.79,2025-04-30,
FIL Investments International,New Wave Group AB,SE0020356970,0.69,2025-04-29,
ActusRayPartners Limited,Surgical Science Sweden AB,SE0014428512,0.5,2025-04-29,
Boldhaven Management LLP,Instalco AB,SE0017483506,1.35,2025-04-29,
Mirabella Financial Services LLP,Yubico AB,SE0015657788,0.72,2025-04-28,
Acadian Asset Management LLC,Hexatronic Group AB,SE0018040677,0.63,2025-04-28,
GUEVOURA FUND,Magnasense AB,SE0014401121,1.71,2025-04-25,
Citadel Advisors LLC,Swedish Orphan Biovitrum AB (publ),SE0000872095,0.59,2025-04-25,
JPMorgan Asset Management (UK) Ltd,Yubico AB,SE0015657788,0.72,2025-04-24,
Gladstone Capital Management LLP,Husqvarna AB,SE0001662230,0.5,2025-04-24,
STATE OF WISCONSIN INVESTMENT BOARD,SSAB AB,SE0000120669,0.5,2025-04-23,
 Millennium Capital Partners LLP ,Alleima AB,SE0017615644,0.5,2025-04-23,
AKO Capital LLP,Beijer Ref AB (publ),SE0015949748,0.51,2025-04-23,
AQR Capital Management LLC,Lifco AB (publ),SE0015949201,0.5,2025-04-22,
Yiheng Capital Management LP,Truecaller AB,SE0016787071,1.49,2025-04-17,
Voleon Capital Management LP,Sinch AB (publ),SE0016101844,0.7,2025-04-16,
Marshall Wace LLP,Embracer Group AB,SE0023615885,0.8,2025-04-16,
Connor Clark & Lunn Investment Management Ltd.,Mips AB,SE0009216278,0.5,2025-04-16,
Boldhaven Management LLP,Vitec Software Group AB (publ),SE0007871363,0.7,2025-04-15,
Canada Pension Plan Investment Board,Avanza Bank Holding AB,SE0012454072,0.69,2025-04-14,
BlackRock Investment Management (UK) Limited,Aktiebolaget Electrolux,SE0016589188,0.54,2025-04-11,
JPMorgan Asset Management (UK) Ltd,CoinShares International Ltd,JE00BLD8Y945,0.68,2025-04-11,
Armistice Capital LLC,Orexo AB,SE0000736415,0.88,2025-04-11,
Brummer Multi-Strategy AB,Hoist Finance AB (publ),SE0006887063,0.55,2025-04-10,
ActusRayPartners Limited,Nobia AB,SE0000949331,0.9,2025-04-10,
Arrowstreet Capital Limited Partnership,Logistea AB,SE0017131337,0.5,2025-04-09,
Ennismore Fund Management Ltd,Mips AB,SE0009216278,0.79,2025-04-09,
Brummer Multi-Strategy AB,KAMBI GROUP PLC,MT0000780107,0.52,2025-04-09,
JPMorgan Asset Management (UK) Ltd,Xvivo Perfusion Aktiebolag,SE0004840718,0.8,2025-04-08,
Rubric Capital Management LP,Avanza Bank Holding AB,SE0012454072,0.61,2025-04-08,
TAGES CAPITAL LLP,Hexatronic Group AB,SE0018040677,0.5,2025-04-07,
High Ground Investment Management LLP,New Wave Group AB,SE0020356970,0.5,2025-04-04,
Ennismore Fund Management Ltd,Cint Group AB (publ),SE0015483276,2,2025-04-03,
AQR Capital Management LLC,Better Collective A/S,DK0060952240,0.5,2025-04-02,
Arrowstreet Capital Limited Partnership,Fastighets AB Balder,SE0017832488,0.61,2025-04-01,
Gladstone Capital Management LLP,Elekta AB (publ),SE0000163628,0.84,2025-04-01,
Parvus Asset Management Jersey Limited,SECTRA Aktiebolag,SE0022419784,0.56,2025-03-31,
Arrowstreet Capital Limited Partnership,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,2.42,2025-03-25,
Connor Clark & Lunn Investment Management Ltd.,EOLUS VIND AB,SE0007075056,0.7,2025-03-24,
Arrowstreet Capital Limited Partnership,Nyfosa AB,SE0011426428,0.61,2025-03-21,
ELEVA CAPITAL S.A.S,Elekta AB (publ),SE0000163628,0.73,2025-03-21,
Connor Clark & Lunn Investment Management Ltd.,Cint Group AB (publ),SE0015483276,0.51,2025-03-20,
BlackRock Investment Management (UK) Limited,Telia Company AB,SE0000667925,0.61,2025-03-20,
D E Shaw Co LP,Fastighets AB Balder,SE0017832488,0.59,2025-03-19,
Argonaut Capital Partners LLP,Yubico AB,SE0015657788,0.57,2025-03-18,
Arrowstreet Capital Limited Partnership,Cibus Nordic Real Estate AB (publ),SE0010832204,0.7,2025-03-13,
Wellington Management Company LLP,Wallenstam AB,SE0017780133,0.51,2025-03-11,
Connor Clark & Lunn Investment Management Ltd.,Hansa Biopharma AB,SE0002148817,0.5,2025-03-10,
Moore Capital Management LP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,0.59,2025-03-04,
Kintbury Capital LLP,NIBE Industrier AB,SE0015988019,0.7,2025-03-04,
DNB Asset Management AS,HMS Networks AB,SE0009997018,0.68,2025-02-28,
ActusRayPartners Limited,Hansa Biopharma AB,SE0002148817,0.6,2025-02-28,
JPMorgan Asset Management (UK) Ltd,Knowit Aktiebolag (publ),SE0000421273,0.68,2025-02-26,
Connor Clark & Lunn Investment Management Ltd.,Better Collective A/S,DK0060952240,0.5,2025-02-25,
JPMorgan Asset Management (UK) Ltd,Elekta AB (publ),SE0000163628,0.71,2025-02-24,
"Balyasny Asset Management, L.P.",Scandic Hotels Group AB,SE0007640156,0.5,2025-02-24,
AQR Capital Management LLC,NIBE Industrier AB,SE0015988019,0.59,2025-02-21,
Arrowstreet Capital Limited Partnership,Catena AB,SE0001664707,0.7,2025-02-14,
Arrowstreet Capital Limited Partnership,Powercell Sweden AB (publ),SE0006425815,0.67,2025-02-14,
JPMorgan Asset Management (UK) Ltd,Dometic Group AB (publ),SE0007691613,0.59,2025-01-31,
AQR Capital Management LLC,Axfood AB,SE0006993770,0.59,2025-01-31,
Arrowstreet Capital Limited Partnership,Pandox Aktiebolag,SE0007100359,0.5,2025-01-13,
Wellington Management Company LLP,JM AB,SE0000806994,0.89,2025-01-02,
JPMorgan Asset Management (UK) Ltd,Better Collective A/S,DK0060952240,1.16,2024-12-02,
Boldhaven Management LLP,Electrolux Professional AB (publ),SE0013747870,0.7,2024-10-31,
Fosse Capital Partners LLP,Castellum Aktiebolag,SE0000379190,0.53,2024-09-25,
Abdi Moazami,Elekta AB (publ),SE0000163628,0.5,2024-09-19,
AQR Capital Management LLC,Holmen Aktiebolag,SE0011090018,0.5,2024-09-03,
Arrowstreet Capital Limited Partnership,Hansa Biopharma AB,SE0002148817,0.69,2024-05-06,
GSA Capital Partners LLP,Re:NewCell AB,SE0014960431,1.24,2024-02-13,
Fosse Capital Partners LLP,Intrum AB,SE0000936478,2.77,2024-01-31,
Helikon Investments Limited,Mips AB,SE0009216278,0.78,2023-09-22,
Edward Adkins,Mips AB,SE0009216278,0.63,2023-07-27,
Philip Ohlsson,Azelio AB,SE0011973940,0.65,2023-06-29,
Cereza Plegar AB,ALM EQUITY AB,SE0004109627,0.83,2023-05-30,
RTW Investments LP,Elekta AB (publ),SE0000163628,0.73,2022-04-07,
TALOMON CAPITAL LIMITED,Clas Ohlson Aktiebolag,SE0000584948,0.66,2022-02-01,
CITADEL ADVISORS II LLC,Moberg Pharma AB (publ),SE0003613090,0.83,2019-12-19,
Canada Pension Plan Investment Board,NIBE Industrier AB,SE0015988019,"<0,5",2025-05-15,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Camurus AB,SE0007692850,"<0,5",2025-05-15,
ALCUR FONDER AB,Vitec Software Group AB (publ),SE0007871363,"<0,5",2025-05-15,
JPMorgan Asset Management (UK) Ltd,Mips AB,SE0009216278,"0,79",2025-05-14,
ALCUR FONDER AB,Vitec Software Group AB (publ),SE0007871363,"0,5",2025-05-14,
Qube Research & Technologies Limited,Surgical Science Sweden AB,SE0014428512,"0,89",2025-05-14,
Whitebox Advisors LLC,Intrum AB,SE0000936478,"<0,5",2025-05-14,
AHL Partners LLP,Kinnevik AB,SE0022060521,"<0,5",2025-05-14,
Point72 Asset Management LP,Aktiebolaget SKF,SE0000108227,"<0,5",2025-05-14,
AQR Capital Management LLC,Boliden AB,SE0020050417,"<0,5",2025-05-14,
D E Shaw Co LP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,6",2025-05-14,
Woodline Partners LP,Camurus AB,SE0007692850,"0,7",2025-05-14,
D E Shaw Co LP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,83",2025-05-13,
Voleon Capital Management LP,Storytel AB (publ),SE0007439443,"<0,5",2025-05-13,
ELEVA CAPITAL S.A.S,Yubico AB,SE0015657788,"<0,5",2025-05-13,
Samlyn Capital LLC,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"4,18",2025-05-13,
JPMorgan Asset Management (UK) Ltd,Thule Group AB,SE0006422390,"<0,5",2025-05-12,
JPMorgan Asset Management (UK) Ltd,Mips AB,SE0009216278,"0,86",2025-05-12,
JPMorgan Asset Management (UK) Ltd,Aktiebolaget Electrolux,SE0016589188,"0,94",2025-05-12,
JPMorgan Asset Management (UK) Ltd,Boozt AB,SE0009888738,"1,47",2025-05-12,
BlackRock Investment Management (UK) Limited,Volvo Car AB,SE0021628898,"1,39",2025-05-12,
Qube Research & Technologies Limited,Biotage AB,SE0000454746,"1,21",2025-05-12,
Wellington Management International Limited,Avanza Bank Holding AB,SE0012454072,"<0,5",2025-05-12,
WORLDQUANT LLC,Cibus Nordic Real Estate AB (publ),SE0010832204,"<0,5",2025-05-12,
Citadel Advisors LLC,Aktiebolaget Electrolux,SE0016589188,"<0,5",2025-05-12,
Voleon Capital Management LP,Storytel AB (publ),SE0007439443,"0,5",2025-05-12,
Whitebox Advisors LLC,Intrum AB,SE0000936478,"0,7",2025-05-12,
Woodline Partners LP,Camurus AB,SE0007692850,"0,61",2025-05-09,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Camurus AB,SE0007692850,"0,6",2025-05-09,
Qube Research & Technologies Limited,KAMBI GROUP PLC,MT0000780107,"0,92",2025-05-09,
Wellington Management International Limited,Fabege AB,SE0011166974,"0,62",2025-05-09,
ALCUR FONDER AB,Troax Group AB (publ),SE0012729366,"0,62",2025-05-09,
White Creek Capital LLP,RaySearch Laboratories AB (publ),SE0000135485,"<0,5",2025-05-09,
Lago Kapital Oy,Eevia Health Plc,FI4000496658,"0,5",2025-05-09,
Canada Pension Plan Investment Board,NIBE Industrier AB,SE0015988019,"0,64",2025-05-09,
JPMorgan Asset Management (UK) Ltd,Lindab International AB,SE0001852419,"0,97",2025-05-08,
Canada Pension Plan Investment Board,NIBE Industrier AB,SE0015988019,"0,7",2025-05-08,
AQR Capital Management LLC,Boliden AB,SE0020050417,"0,5",2025-05-08,
D E Shaw Co LP,Aktiebolaget Electrolux,SE0016589188,"0,7",2025-05-08,
Balyasny Asset Management (UK) LLP,Elekta AB (publ),SE0000163628,"<0,5",2025-05-08,
Marshall Wace LLP,Securitas AB,SE0000163594,"0,61",2025-05-08,
Qube Research & Technologies Limited,KAMBI GROUP PLC,MT0000780107,"0,89",2025-05-08,
BlackRock Investment Management (UK) Limited,Embracer Group AB,SE0023615885,"2,59",2025-05-08,
BlackRock Investment Management (UK) Limited,Securitas AB,SE0000163594,"1,29",2025-05-08,
Citadel Advisors LLC,Aktiebolaget Electrolux,SE0016589188,"0,5",2025-05-08,
ALCUR FONDER AB,Troax Group AB (publ),SE0012729366,"0,88",2025-05-07,
Qube Research & Technologies Limited,Biotage AB,SE0000454746,"1,14",2025-05-07,
Qube Research & Technologies Limited,Instalco AB,SE0017483506,"0,6",2025-05-07,
White Creek Capital LLP,RaySearch Laboratories AB (publ),SE0000135485,"0,6",2025-05-07,
Marshall Wace LLP,Securitas AB,SE0000163594,"0,58",2025-05-07,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,BioArctic AB,SE0010323311,"0,51",2025-05-07,
JPMorgan Asset Management (UK) Ltd,Lindab International AB,SE0001852419,"1,04",2025-05-06,
Qube Research & Technologies Limited,NCAB Group AB (publ),SE0017160773,"<0,5",2025-05-06,
White Creek Capital LLP,RaySearch Laboratories AB (publ),SE0000135485,"0,56",2025-05-06,
Marshall Wace LLP,BioArctic AB,SE0010323311,"<0,5",2025-05-06,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,"<0,5",2025-05-06,
Connor Clark & Lunn Investment Management Ltd.,GARO Aktiebolag,SE0015812417,"<0,5",2025-05-06,
GSA Capital Partners LLP,Tobii AB,SE0002591420,"0,69",2025-05-06,
Citadel Advisors LLC,Sedana Medical AB (publ),SE0015988373,"<0,5",2025-05-06,
ALCUR FONDER AB,Troax Group AB (publ),SE0012729366,"1,21",2025-05-06,
Balyasny Asset Management (UK) LLP,Getinge AB (publ),SE0000202624,"0,7",2025-05-05,
JPMorgan Asset Management (UK) Ltd,Thule Group AB,SE0006422390,"0,51",2025-05-05,
BlackRock Investment Management (UK) Limited,H & M Hennes & Mauritz AB,SE0000106270,"<0,5",2025-05-05,
Ennismore Fund Management Ltd,Fasadgruppen Group AB (publ),SE0015195771,"0,93",2025-05-02,
WORLDQUANT LLC,Cibus Nordic Real Estate AB (publ),SE0010832204,"0,51",2025-05-02,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,"0,57",2025-05-02,
BlackRock Institutional Trust Company National Association,Aktiebolaget Electrolux,SE0016589188,"0,7",2025-05-02,
BlackRock Financial Management Inc,Aktiebolaget Electrolux,SE0016589188,"0,62",2025-05-02,
Wellington Management International Limited,Avanza Bank Holding AB,SE0012454072,"0,53",2025-05-02,
Brummer Multi-Strategy AB,BONESUPPORT HOLDING AB,SE0009858152,"0,68",2025-05-02,
Point72 Asset Management LP,Aktiebolaget SKF,SE0000108227,"0,5",2025-05-02,
Citadel Advisors LLC,Hansa Biopharma AB,SE0002148817,"<0,5",2025-05-02,
Qube Research & Technologies Limited,Boozt AB,SE0009888738,"0,61",2025-05-01,
ALCUR FONDER AB,Instalco AB,SE0017483506,"<0,5",2025-04-30,
Brummer Multi-Strategy AB,BONESUPPORT HOLDING AB,SE0009858152,"0,53",2025-04-30,
Qube Research & Technologies Limited,KAMBI GROUP PLC,MT0000780107,"0,93",2025-04-30,
Qube Research & Technologies Limited,Biotage AB,SE0000454746,"1,06",2025-04-30,
JPMorgan Asset Management (UK) Ltd,Munters Group AB,SE0009806607,"<0,5",2025-04-30,
JPMorgan Asset Management (UK) Ltd,Boozt AB,SE0009888738,"1,61",2025-04-30,
D E Shaw Co LP,Aktiebolaget Electrolux,SE0016589188,"0,61",2025-04-30,
ELEVA CAPITAL S.A.S,Aktiebolaget Electrolux,SE0016589188,"<0,5",2025-04-30,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,"0,74",2025-04-30,
JPMorgan Asset Management (UK) Ltd,Boozt AB,SE0009888738,"1,59",2025-04-29,
Qube Research & Technologies Limited,Smart Eye Aktiebolag (publ),SE0009268279,"1,39",2025-04-29,
Qube Research & Technologies Limited,Biotage AB,SE0000454746,"0,91",2025-04-29,
Qube Research & Technologies Limited,Instalco AB,SE0017483506,"0,59",2025-04-29,
JPMorgan Asset Management (UK) Ltd,Munters Group AB,SE0009806607,"0,66",2025-04-29,
JPMorgan Asset Management (UK) Ltd,HMS Networks AB,SE0009997018,"<0,5",2025-04-29,
JPMorgan Asset Management (UK) Ltd,Aktiebolaget Electrolux,SE0016589188,"1,12",2025-04-29,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,"0,85",2025-04-29,
D E Shaw Co LP,Aktiebolaget Electrolux,SE0016589188,"0,56",2025-04-29,
ELEVA CAPITAL S.A.S,Aktiebolaget Electrolux,SE0016589188,"0,64",2025-04-29,
ALCUR FONDER AB,Instalco AB,SE0017483506,"0,71",2025-04-29,
D E Shaw Co LP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,11",2025-04-28,
JPMorgan Asset Management (UK) Ltd,Vitec Software Group AB (publ),SE0007871363,"0,9",2025-04-28,
JPMorgan Asset Management (UK) Ltd,Boozt AB,SE0009888738,"1,35",2025-04-28,
Qube Research & Technologies Limited,Boozt AB,SE0009888738,"0,57",2025-04-28,
Qube Research & Technologies Limited,Biotage AB,SE0000454746,"1,07",2025-04-28,
Qube Research & Technologies Limited,KAMBI GROUP PLC,MT0000780107,"0,77",2025-04-28,
Citadel Advisors LLC,Hansa Biopharma AB,SE0002148817,"0,5",2025-04-28,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,"1,02",2025-04-28,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Castellum Aktiebolag,SE0000379190,"<0,5",2025-04-28,
Qube Research & Technologies Limited,NCAB Group AB (publ),SE0017160773,"0,52",2025-04-25,
Qube Research & Technologies Limited,Biotage AB,SE0000454746,"1,21",2025-04-25,
WORLDQUANT LLC,Hansa Biopharma AB,SE0002148817,"<0,5",2025-04-25,
BlackRock Investment Management (UK) Limited,H & M Hennes & Mauritz AB,SE0000106270,"0,57",2025-04-25,
Citadel Advisors LLC,Hansa Biopharma AB,SE0002148817,"<0,5",2025-04-25,
Canada Pension Plan Investment Board,NIBE Industrier AB,SE0015988019,"0,85",2025-04-25,
Mirabella Financial Services LLP,Yubico AB,SE0015657788,"0,99",2025-04-25,
GUEVOURA FUND,Magnasense AB,SE0014401121,"1,13",2025-04-24,
ALCUR FONDER AB,Instalco AB,SE0017483506,"0,86",2025-04-24,
Qube Research & Technologies Limited,Biotage AB,SE0000454746,"1,19",2025-04-24,
GSA Capital Partners LLP,Smart Eye Aktiebolag (publ),SE0009268279,"0,67",2025-04-24,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,"0,81",2025-04-24,
ActusRayPartners Limited,Sedana Medical AB (publ),SE0015988373,"<0,5",2025-04-24,
Ennismore Fund Management Ltd,Fasadgruppen Group AB (publ),SE0015195771,"0,8",2025-04-23,
Acadian Asset Management LLC,Hexatronic Group AB,SE0018040677,"0,59",2025-04-23,
Qube Research & Technologies Limited,Biotage AB,SE0000454746,"0,77",2025-04-23,
JPMorgan Asset Management (UK) Ltd,Vitec Software Group AB (publ),SE0007871363,"0,82",2025-04-23,
JPMorgan Asset Management (UK) Ltd,HMS Networks AB,SE0009997018,"0,52",2025-04-23,
Balyasny Asset Management (UK) LLP,Getinge AB (publ),SE0000202624,"0,68",2025-04-23,
Qube Research & Technologies Limited,KAMBI GROUP PLC,MT0000780107,"0,81",2025-04-23,
Citadel Advisors LLC,Aktiebolaget Electrolux,SE0016589188,"<0,5",2025-04-23,
ALCUR FONDER AB,Troax Group AB (publ),SE0012729366,"1,12",2025-04-23,
Walleye Capital LLC,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,69",2025-04-23,
ActusRayPartners Limited,Sedana Medical AB (publ),SE0015988373,"0,55",2025-04-23,
Albar Capital LLP,Aktiebolaget Electrolux,SE0016589188,"<0,5",2025-04-23,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Castellum Aktiebolag,SE0000379190,"0,57",2025-04-22,
Marshall Wace LLP,BioArctic AB,SE0010323311,"0,55",2025-04-22,
Citadel Advisors LLC,Aktiebolaget Electrolux,SE0016589188,"0,5",2025-04-22,
Citadel Advisors LLC,Sedana Medical AB (publ),SE0015988373,"0,5",2025-04-22,
ALCUR FONDER AB,JM AB,SE0000806994,"<0,5",2025-04-22,
Acadian Asset Management LLC,Hexatronic Group AB,SE0018040677,"0,61",2025-04-17,
GSA Capital Partners LLP,Xbrane Biopharma AB,SE0007789409,"0,69",2025-04-17,
WORLDQUANT LLC,Cibus Nordic Real Estate AB (publ),SE0010832204,"<0,5",2025-04-17,
Balyasny Asset Management (UK) LLP,Elekta AB (publ),SE0000163628,"0,66",2025-04-16,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,BioArctic AB,SE0010323311,"<0,5",2025-04-16,
ALCUR FONDER AB,JM AB,SE0000806994,"0,51",2025-04-16,
Ennismore Fund Management Ltd,Fasadgruppen Group AB (publ),SE0015195771,"0,7",2025-04-16,
Systematica Investments Limited,Kinnevik AB,SE0022060521,"<0,5",2025-04-15,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Castellum Aktiebolag,SE0000379190,"0,69",2025-04-15,
Qube Research & Technologies Limited,Surgical Science Sweden AB,SE0014428512,"0,9",2025-04-15,
Citadel Advisors LLC,Aktiebolaget Electrolux,SE0016589188,"<0,5",2025-04-15,
Voleon Capital Management LP,Sinch AB (publ),SE0016101844,"0,69",2025-04-15,
D E Shaw Co LP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,09",2025-04-15,
Samlyn Capital LLC,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"4,56",2025-04-15,
GREENVALE CAPITAL LLP,Evolution AB (publ),SE0012673267,"<0,5",2025-04-15,
Marble Bar Asset Management LLP,Mips AB,SE0009216278,"<0,5",2025-04-14,
Canada Pension Plan Investment Board,NIBE Industrier AB,SE0015988019,"0,96",2025-04-14,
JPMorgan Asset Management (UK) Ltd,Mips AB,SE0009216278,"0,91",2025-04-14,
AQR Capital Management LLC,Aktiebolaget SKF,SE0000108227,"<0,5",2025-04-14,
Connor Clark & Lunn Investment Management Ltd.,Fasadgruppen Group AB (publ),SE0015195771,"0,7",2025-04-14,
Marshall Wace LLP,Securitas AB,SE0000163594,"0,61",2025-04-14,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Castellum Aktiebolag,SE0000379190,"0,71",2025-04-14,
Citadel Advisors LLC,Aktiebolaget Electrolux,SE0016589188,"0,55",2025-04-14,
BlackRock Investment Management (UK) Limited,Volvo Car AB,SE0021628898,"1,28",2025-04-14,
JPMorgan Asset Management (UK) Ltd,HMS Networks AB,SE0009997018,"0,68",2025-04-11,
ALCUR FONDER AB,Troax Group AB (publ),SE0012729366,1,2025-04-11,
Voleon Capital Management LP,Sinch AB (publ),SE0016101844,"0,71",2025-04-11,
