Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
COVALIS CAPITAL LLP,FORTUM OYJ,FI0009007132,0.79,01/17/2024
MILLENNIUM CAPITAL PARTNERS LLP,OUTOKUMPU OYJ,FI0009002422,0.52,01/17/2024
MILLENNIUM CAPITAL PARTNERS LLP,OUTOKUMPU OYJ,FI0009002422,0.45,01/16/2024
COVALIS CAPITAL LLP,FORTUM OYJ,FI0009007132,0.63,01/16/2024
PANTECHNICON ADVISORS LLP,OUTOKUMPU OYJ,FI0009002422,0.54,01/16/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.69,01/15/2024
COVALIS CAPITAL LLP,FORTUM OYJ,FI0009007132,0.56,01/15/2024
PANTECHNICON ADVISORS LLP,OUTOKUMPU OYJ,FI0009002422,0.65,01/12/2024
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,1.29,01/12/2024
MILLENNIUM CAPITAL PARTNERS LLP,OUTOKUMPU OYJ,FI0009002422,0.51,01/12/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.83,01/11/2024
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,1.12,01/11/2024
CITADEL ADVISORS EUROPE LIMITED,ELISA OYJ,FI0009007884,0.63,01/11/2024
MARSHALL WACE LLP,STORA ENSO OYJ,FI0009005961,0.6,01/11/2024
MARSHALL WACE LLP,QT GROUP OYJ,FI4000198031,0.49,01/09/2024
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.5,01/09/2024
CITADEL ADVISORS EUROPE LIMITED,ELISA OYJ,FI0009007884,0.59,01/08/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.73,01/05/2024
CITADEL ADVISORS EUROPE LIMITED,ELISA OYJ,FI0009007884,0.6,01/05/2024
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,1.08,01/05/2024
PANTECHNICON ADVISORS LLP,OUTOKUMPU OYJ,FI0009002422,0.88,01/05/2024
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.61,01/04/2024
FRANKLIN TEMPLETON INVESTMENT MANAGEMENT LIMITED,YIT OYJ,FI0009800643,0.53,01/04/2024
MARSHALL WACE LLP,WÄRTSILÄ OYJ ABP,FI0009003727,0.6,01/04/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.7,01/04/2024
MARSHALL WACE LLP,STORA ENSO OYJ,FI0009005961,0.5,01/03/2024
CITADEL ADVISORS EUROPE LIMITED,ELISA OYJ,FI0009007884,0.5,01/03/2024
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.55,01/03/2024
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,1.31,01/03/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.16,01/03/2024
