Position Holder,Company,ISIN,Position (%),Date
Qube Research & Technologies Limited,Bitdeer Technologies Holding Co,KYG114481008,1.37,2025-05-09
"Arrowstreet Capital, Limited Partnership",Comstock Inc,US2057504092,2.66,2025-05-09
"Arrowstreet Capital, Limited Partnership",NeoVolta Inc,US6406551068,0.89,2025-05-09
JPMorgan Asset Management (UK) Ltd,Fraport AG Frankfurt Airport Services Worldwide,DE0005773303,0.58,2025-05-08
Marshall Wace LLP,thyssenkrupp AG,DE0007500001,3.2,2025-05-08
Kintbury Capital LLP,Deutsche Lufthansa Aktiengesellschaft,DE0008232125,0.5,2025-05-08
"AQR Capital Management, LLC",MTU Aero Engines AG,DE000A0D9PT0,0.51,2025-05-08
High Ground Investment Management LLP,Gerresheimer AG,DE000A0LD6E6,0.64,2025-05-08
JPMorgan Asset Management (UK) Ltd,GRENKE AG,DE000A161N30,0.62,2025-05-08
"BlackRock Institutional Trust Company, National Association",TUI AG,DE000TUAG505,0.6,2025-05-08
Qube Research & Technologies Limited,Siltronic AG,DE000WAF3001,0.58,2025-05-08
LMR Partners LLP,Bitdeer Technologies Group,KYG114481008,1.91,2025-05-08
"AQR Capital Management, LLC",Carl Zeiss Meditec AG,DE0005313704,0.5,2025-05-07
Ilex Capital Partners (UK) LLP,PUMA SE,DE0006969603,1.76,2025-05-07
Citadel Advisors Europe Limited,SMA Solar Technology AG,DE000A0DJ6J9,0.67,2025-05-07
Walleye Capital UK Limited,Kasumigaseki Capital Co Ltd,JP3211050004,0.61,2025-05-07
"Arrowstreet Capital, Limited Partnership",Core Scientific Inc,US21874A1060,1.2,2025-05-07
Marshall Wace LLP,AMADEUS FIRE AG,DE0005093108,0.6,2025-05-06
"D. E. Shaw & Co., L.P.",thyssenkrupp AG,DE0007500001,0.69,2025-05-06
"WorldQuant, LLC",Gerresheimer AG,DE000A0LD6E6,0.7,2025-05-06
Numeric Investors LLC,INDIVIOR PLC,GB00BN4HT335,1.18,2025-05-06
"Arrowstreet Capital, Limited Partnership",Bitdeer Technologies Group,KYG114481008,1.3,2025-05-06
Mirabella Financial Services LLP,Shop Apotheke Europe NV,NL0012044747,0.56,2025-05-06
Citadel Advisors LLC,SMA Solar Technology AG,DE000A0DJ6J9,1.5,2025-05-05
"Arrowstreet Capital, Limited Partnership",PNE AG,DE000A0JBPG2,0.69,2025-05-05
Tages Capital LLP,Nagarro SE,DE000A3H2200,0.66,2025-05-05
Viking Global Investors LP,On Holding AG,CH1134540470,0.64,2025-05-02
Citadel Advisors LLC,Nordex SE,DE000A0D6554,0.52,2025-05-02
"D. E. Shaw & Co., L.P.",Gerresheimer AG,DE000A0LD6E6,0.6,2025-05-02
Marshall Wace LLP,Delivery Hero SE,DE000A2E4K43,0.69,2025-05-02
AKO Capital LLP,Nagarro SE,DE000A3H2200,1.44,2025-05-02
Wellington Management International Limited,Nagarro SE,DE000A3H2200,0.72,2025-05-02
"BlackRock Financial Management, Inc.",TUI AG,DE000TUAG505,0.51,2025-05-02
"Point72 Asset Management, L.P.",Siltronic AG,DE000WAF3001,1.22,2025-05-02
Wellington Management International Limited,Redcare Pharmacy N.V.,NL0012044747,0.55,2025-05-02
"Arrowstreet Capital, Limited Partnership",KULR Technology Group Inc,US50125G1094,2.71,2025-05-02
Mangrove Partners,KULR Tedchnology Group Inc,US50125G1094,1.97,2025-05-02
Citadel Advisors Europe Limited,Rheinmetall Aktiengesellschaft,DE0007030009,0.72,2025-05-01
Qube Research & Technologies Limited,CompuGroup Medical SE & Co. KGaA,DE000A288904,1.01,2025-05-01
"Arrowstreet Capital, Limited Partnership",Tempest Therapeutics Inc,US87978U2078,1.08,2025-05-01
AHL Partners LLP,HUGO BOSS AG,DE000A1PHFF7,0.58,2025-04-30
Marshall Wace LLP,Mutares SE & Co. KGaA,DE000A2NB650,0.72,2025-04-30
Marshall Wace LLP,KION GROUP AG,DE000KGX8881,0.79,2025-04-30
"BlackRock Institutional Trust Company, National Association",K+S Aktiengesellschaft,DE000KSAG888,0.89,2025-04-30
Millennium International Management LP,Siltronic AG,DE000WAF3001,0.55,2025-04-30
Quadrature Capital Limited,Kasumigaseki Capital Co. Ltd.,JP3211050004,1.49,2025-04-30
AKO Capital LLP,Beiersdorf Aktiengesellschaft,DE0005200000,0.51,2025-04-29
