Position Holder,Company,ISIN,Position (%),Date
GSA Capital Partners LLP,S&T AG,AT0000A0E9W5,0.52,2017-11-14
PSquared Asset Management AG,Linde Aktiengesellschaft,DE000A2E4L75,0.64,2017-11-10
GSA Capital Partners LLP,ADVA Optical Networking SE,DE0006452907,0.5,2017-10-26
BNP PARIBAS SA,Aurubis AG,DE0006766504,1.14,2017-10-24
GSA Capital Partners LLP,HAMBORNER REIT AG,DE0006013006,0.5,2017-10-13
GSA Capital Partners LLP,Bertrandt Aktiengesellschaft,DE0005232805,0.53,2017-09-28
Adage Capital Management L.P.,Wacker Chemie AG,DE000WCH8881,0.82,2017-09-28
Adage Capital Management L.P.,HUGO BOSS AG,DE000A1PHFF7,0.56,2017-09-21
BlackRock Advisors (UK) Limited,zooplus AG,DE0005111702,0.53,2017-09-18
BlackRock Investment Management (UK) Limited,Software Aktiengesellschaft,DE0003304002,1.08,2017-09-12
"Wellington Management Company, LLP",ADVA Optical Networking SE,DE0005103006,0.52,2017-09-12
BNP PARIBAS SA,Deutsche EuroShop AG,DE0007480204,0.5,2017-08-30
GLG Partners LP,Software Aktiengesellschaft,DE0003304002,0.88,2017-08-18
BNP PARIBAS SA,SAF-HOLLAND SA,LU0307018795,0.9,2017-08-14
BlackRock Investment Management (UK) Limited,GFT Technologies SE,DE0005800601,0.58,2017-08-01
BODENHOLM CAPITAL AB,Software Aktiengesellschaft,DE0003304002,0.54,2017-07-18
Citadel Advisors II LLC,Medigene AG,DE0005020903,0.57,2017-06-16
BNP PARIBAS SA,Aurubis AG,DE0006766504,1.66,2017-06-13
BNP PARIBAS SA,alstria office REIT-AG,DE000A0LD2U1,1.4,2017-06-12
Citadel Advisors LLC,Medigene AG,DE000A1X3W00,0.5,2017-05-24
BlackRock Investment Management (UK) Limited,STRATEC Biomedical AG,DE0007289001,0.5,2017-05-22
Caledonia (Private) Investments Pty Limited,Zalando SE,DE000ZAL1111,0.83,2017-03-01
BNP PARIBAS SA,Deutsche Wohnen AG,DE000A0HN5C6,0.67,2017-02-22
BNP PARIBAS SA,Deutsche Wohnen AG,DE000A0HN5C6,0.79,2017-02-10
Systematica Investments Limited,AMS AG,AT0000A18XM4,0.6,2017-02-06
"AQR Capital Management, LLC",Qiagen NV,NL0000240000,1.38,2017-01-18
BNP Paribas S.A. Niederlassung Deutschland,alstria office REIT-AG,DE000A0LD2U1,0.81,2017-01-06
BNP Paribas S.A. Niederlassung Deutschland,Klöckner & Co SE,DE000KC01000,0.53,2017-01-05
BNP Paribas S.A. Niederlassung Deutschland,Deutsche EuroShop AG,DE0007480204,0.6,2016-12-27
BNP Paribas S.A. Niederlassung Deutschland,CANCOM SE,DE0005419105,1.1,2016-12-26
BNP Paribas S.A. Niederlassung Deutschland,Deutsche Wohnen AG,DE000A0HN5C6,0.65,2016-12-02
GF Trading LLC,publity AG,DE0006972508,0.69,2016-11-29
Baader Bank Aktiengesellschaft,Schön & Cie Aktiengesellschaft,DE0007198806,0.73,2016-11-21
UBS Asset Management (UK) Ltd,Hamburger Hafen und Logistik Aktiengesellschaft,DE000A0S8488,0.89,2016-10-17
EXANE ASSET MANAGEMENT,MTU Aero Engines AG,DE000A0D9PT0,0.59,2016-09-28
BNP Paribas S.A. Niederlassung Deutschland,Drillisch Aktiengesellschaft,DE0005545503,0.8,2016-08-11
UBS Global Asset Management (UK) Ltd,SGL Carbon SE,DE0007235301,1.34,2016-05-25
"Hoplite Partners, L.P.",Rocket Internet SE,DE000A12UKK6,0.6,2016-04-27
"Point72 Asset Management, L.P.",Mobileye N.V.,NL0010831061,0.84,2016-03-29
"AQR Capital Management, LLC",Ensco plc,GB00B4VLR192,0.99,2016-03-22
Pacific Investment Management Company LLC,Ensco Plc,GB00B4VLR192,0.78,2016-03-11
UBS Global Asset Management (UK) Ltd,Hamburger Hafen und Logistik Aktiengesellschaft,DE000A0S8488,0.99,2016-01-14
BG Master Fund Plc,Volkswagen Versicherung Aktiengesellschaft,DE0007664039,1.41,2015-08-07
UBS Global Asset Management (UK) Ltd,Fraport AG Frankfurt Airport Services Worldwide,DE0005773303,0.5,2015-06-22
"Highbridge Statistical Opportunities Master Fund, L.P.",Klöckner & Co SE,DE000KC01000,0.52,2015-06-11
Whitebox Advisors,BUWOG AG,AT00BUWOG001,0.94,2015-05-13
BlackRock Investment Management (UK) Limited,Brunel International N.V.,NL0010776944,0.81,2015-04-02
Swiss & Global Asset Management AG,STADA Arzneimittel Aktiengesellschaft,DE0007251803,0.54,2015-03-30
Columbus Circle Investors,SMA Solar Technology AG,DE000A0DJ6J9,0.52,2014-08-21
BlackRock Investment Management (UK) Limited,DAISY GROUP PLC,GB00B61G9L20,0.74,2014-05-15
"The Goldman Sachs Group, Inc.","Liberty Global, Inc.",GB00B8W67662,0.52,2014-02-24
Castle Creek Arbitrage LLC,QIAGEN N.V.,NL0000240000,1.34,2014-02-14
Makuria Investment Management (UK) LLP,SolarWorld Aktiengesellschaft,DE0005108401,1.34,2014-01-24
Alden Global Capital Limited,SolarWorld Aktiengesellschaft,DE0005108401,1.35,2014-01-02
SUNRISE PARTNERS LIMITED PARTNERSHIP,Deutsche Wohnen AG,DE000A0HN5C6,0.55,2013-12-06
Barrington Wilshire LLC,AIXTRON SE,DE000A0WMPJ6,0.57,2013-08-12
CQS Convertible and Quantitative Strategies Master Fund Limited,TAG Immobilien AG,DE0008303504,0.77,2013-07-29
Ferox Capital LLP,QIAGEN,NL0000240000,0.52,2013-04-30
"Overland Advisors, LLC",Südzucker Aktiengesellschaft Mannheim/Ochsenfurt,DE0007297004,1.0,2012-11-07
Oxford Asset Management,Prelios Spa,IT0003270615,1.29,2012-11-06
Oxford Asset Management,Unipol Gruppo Finanziario Spa,IT0004810054,0.61,2012-11-06
SUNRISE PARTNERS LIMITED PARTNERSHIP,Modern Times Group AB,SE0000412371,0.6,2012-11-06
"Luxor Capital Group, LP",Logitech International S.A.,CH0025751329,0.97,2012-11-02
"Tiger Global Management, LLC",Global PVQ SE,DE0005558662,0.63,2012-11-02
"Wellington Management Company, LLP",Rofin-Sinar Technologies Inc.,US7750431022,0.51,2012-11-02
"D. E. Shaw Valence International, Inc.",LEONI AG,DE0005408884,0.83,2012-10-29
"Pennant Windward Master Fund, LP",AIXTRON SE,DE000A0WMPJ6,1.55,2012-10-29
"Tiger Global Investments, L.P.",SolarWorld Aktiengesellschaft,DE0005108401,0.72,2012-10-26
"Tiger Global Investments, L.P.",Asian Bamboo AG,DE000A0M6M79,2.07,2012-10-26
