POSITION HOLDER,NAME OF THE ISSUER,ISIN,"NET SHORT POSITION
%","POSITION DATE
(yyyy/mm/dd)"
Oceanwood Capital Management LLP,NATIONAL BANK OF GREECE SA,GRS003003027,0.61,2017/12/04
Marshall Wace LLP,NATIONAL BANK OF GREECE SA,GRS003003027,0.8,2017/12/01
Marshall Wace LLP,PIRAEUS BANK S.A.,GRS014003024,0.71,2017/11/29
Lansdowne Partners (UK) LLP,PUBLIC POWER CORPORATION SA,GRS434003000,0.53,2017/11/29
Oceanwood Capital Management LLP,NATIONAL BANK OF GREECE SA,GRS003003027,0.52,2017/11/28
Marshall Wace LLP,ALPHA BANK A.E.,GRS015003007,0.48,2017/11/17
Oceanwood Capital Management LLP,NATIONAL BANK OF GREECE SA,GRS003003027,0.49,2017/11/17
Marshall Wace LLP,NATIONAL BANK OF GREECE SA,GRS003003027,0.71,2017/11/16
Oceanwood Capital Management LLP,NATIONAL BANK OF GREECE SA,GRS003003027,0.52,2017/11/15
Marshall Wace LLP,ALPHA BANK A.E.,GRS015003007,0.57,2017/11/13
Marshall Wace LLP,ALPHA BANK A.E.,GRS015003007,0.61,2017/11/09
Marshall Wace LLP,PIRAEUS BANK S.A.,GRS014003024,0.64,2017/11/07
Marshall Wace LLP,ALPHA BANK A.E.,GRS015003007,0.5,2017/11/01
Marshall Wace LLP,NATIONAL BANK OF GREECE SA,GRS003003027,0.69,2017/10/27
Marshall Wace LLP,PIRAEUS BANK S.A.,GRS014003024,0.5,2017/10/24
Marshall Wace LLP,NATIONAL BANK OF GREECE SA,GRS003003027,0.78,2017/10/23
Marshall Wace LLP,NATIONAL BANK OF GREECE SA,GRS003003027,0.81,2017/10/17
Lansdowne Partners (UK) LLP,PIRAEUS BANK S.A.,GRS014003024,1.35,2017/10/16
Lansdowne Partners (UK) LLP,PIRAEUS BANK S.A.,GRS014003024,1.28,2017/10/13
Lansdowne Partners (UK) LLP,PIRAEUS BANK S.A.,GRS014003024,1.13,2017/10/09
Lansdowne Partners (UK) LLP,PIRAEUS BANK S.A.,GRS014003024,1.05,2017/10/06
Lansdowne Partners (UK) LLP,PIRAEUS BANK S.A.,GRS014003024,0.93,2017/10/04
Lansdowne Partners (UK) LLP,PIRAEUS BANK S.A.,GRS014003024,0.7,2017/10/02
Marshall Wace LLP,NATIONAL BANK OF GREECE SA,GRS003003027,0.73,2017/09/27
Marshall Wace LLP,NATIONAL BANK OF GREECE SA,GRS003003027,0.68,2017/09/26
Lansdowne Partners (UK) LLP,EUROBANK ERGASIAS S.A.,GRS323003012,0.62,2017/09/25
Lansdowne Partners (UK) LLP,PIRAEUS BANK S.A.,GRS014003024,0.67,2017/09/25
Marshall Wace LLP,NATIONAL BANK OF GREECE SA,GRS003003027,0.52,2017/09/21
Oceanwood Capital Management LLP,ALPHA BANK A.E.,GRS015003007,0.47,2017/09/18
Oceanwood Capital Management LLP,ALPHA BANK A.E.,GRS015003007,0.53,2017/09/15
Oceanwood Capital Management LLP,ALPHA BANK A.E.,GRS015003007,0.63,2017/09/07
Oceanwood Capital Management LLP,ALPHA BANK A.E.,GRS015003007,0.52,2017/07/27
Marshall Wace LLP,ALPHA BANK A.E.,GRS015003007,0.46,2017/05/24
Marshall Wace LLP,ALPHA BANK A.E.,GRS015003007,0.59,2017/05/16
Marshall Wace LLP,ALPHA BANK A.E.,GRS015003007,0.61,2017/04/26
Marshall Wace LLP,ALPHA BANK A.E.,GRS015003007,0.6,2017/03/24
Marshall Wace LLP,ALPHA BANK A.E.,GRS015003007,0.5,2017/03/13
Oceanwood Capital Management LLP,FOLLI FOLLIE S.A.,GRS294003009,0.46,2017/01/23
Oceanwood Capital Management LLP,FOLLI FOLLIE S.A.,GRS294003009,0.51,2016/12/30
Marshall Wace LLP,ALPHA BANK A.E.,GRS015003007,0.46,2016/12/06
Marshall Wace LLP,ALPHA BANK A.E.,GRS015003007,0.52,2016/11/30
Oceanwood Capital Management LLP,ALPHA BANK A.E.,GRS015003007,0.47,2016/09/22
Oceanwood Capital Management LLP,ALPHA BANK A.E.,GRS015003007,0.78,2016/09/20
Oceanwood Capital Management LLP,ALPHA BANK A.E.,GRS015003007,0.89,2016/08/30
Oceanwood Capital Management LLP,ALPHA BANK A.E.,GRS015003007,0.98,2016/08/29
Oceanwood Capital Management LLP,ALPHA BANK A.E.,GRS015003007,1.0,2016/08/01
Oceanwood Capital Management LLP,PIRAEUS BANK S.A.,GRS014003016,0.42,2016/07/13
Oceanwood Capital Management LLP,PIRAEUS BANK S.A.,GRS014003016,0.51,2016/07/12
Oceanwood Capital Management LLP,ALPHA BANK A.E.,GRS015003007,0.94,2016/07/05
Oceanwood Capital Management LLP,ALPHA BANK A.E.,GRS015003007,0.83,2016/07/01
Oceanwood Capital Management LLP,ALPHA BANK A.E.,GRS015003007,0.71,2016/06/28
Oceanwood Capital Management LLP,PIRAEUS BANK S.A.,GRS014003016,0.63,2016/06/28
Oceanwood Capital Management LLP,ALPHA BANK A.E.,GRS015003007,0.62,2016/06/15
Oceanwood Capital Management LLP,ALPHA BANK A.E.,GRS015003007,0.59,2016/06/14
Oceanwood Capital Management LLP,PIRAEUS BANK S.A.,GRS014003016,0.5,2016/06/14
"Discovery Capital Management, LLC",EUROBANK ERGASIAS S.A.,GRS323003004,0.48,2015/04/23
"Discovery Capital Management, LLC",EUROBANK ERGASIAS S.A.,GRS323003004,0.67,2015/04/21
Charlemagne Capital (IOM) Limited,EUROBANK ERGASIAS S.A.,GRS323003004,0.49,2015/04/17
"Discovery Capital Management, LLC",EUROBANK ERGASIAS S.A.,GRS323003004,0.71,2015/04/07
"Discovery Capital Management, LLC",EUROBANK ERGASIAS S.A.,GRS323003004,0.66,2015/03/13
Charlemagne Capital (IOM) Limited,EUROBANK ERGASIAS S.A.,GRS323003004,0.53,2015/03/11
"Discovery Capital Management, LLC",EUROBANK ERGASIAS S.A.,GRS323003004,0.5,2015/03/09
"Jane Street Capital, LLC",National Bank of Greece SA,GRS003003019,0.19,2013/06/03
"Jane Street Capital, LLC",National Bank of Greece SA,GRS003003019,0.6,2013/05/31
"Jane Street Capital, LLC",National Bank of Greece SA,GRS003003019,0.76,2013/05/30
