Position Holder:,Name of the Issuer:,ISIN:,Net short position %:,Position Date:
PSquared Asset Management AG,Smurfit Kappa Group PLC,IE00B1RR8406,0.78%,2024-04-03
HBK Investments LP,Smurfit Kappa Group PLC,IE00B1RR8406,1.72%,2024-04-03
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.99%,2024-04-02
HBK Investments LP,Smurfit Kappa Group PLC,IE00B1RR8406,1.65%,2024-04-02
UBS O'Connor LLC,Smurfit Kappa Group PLC,IE00B1RR8406,0.00%,2024-04-01
UBS Asset Management (Americas) LLC,Smurfit Kappa Group PLC,IE00B1RR8406,1.33%,2024-04-01
Marshall Wace LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.48%,2024-03-27
Kryger Capital Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.53%,2024-03-27
HBK Investments LP,Smurfit Kappa Group PLC,IE00B1RR8406,1.53%,2024-03-27
Magnetar Capital Partners LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.79%,2024-03-26
Segantii Capital Management (USA) LLC,Smurfit Kappa Group PLC,IE00B1RR8406,0.49%,2024-03-25
HBK Investments LP,Smurfit Kappa Group PLC,IE00B1RR8406,1.36%,2024-03-25
Alpine Associates Management Inc,Smurfit Kappa Group PLC,IE00B1RR8406,0.89%,2024-03-21
HBK Investments LP,Smurfit Kappa Group PLC,IE00B1RR8406,1.13%,2024-03-21
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,1.04%,2024-03-15
UBS O'Connor LLC,Smurfit Kappa Group PLC,IE00B1RR8406,1.30%,2024-03-15
Marshall Wace LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.59%,2024-03-14
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.60%,2024-03-14
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,1.10%,2024-03-14
Segantii Capital Management (USA) LLC,Smurfit Kappa Group PLC,IE00B1RR8406,0.59%,2024-03-13
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.90%,2024-03-13
Marshall Wace LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.60%,2024-03-12
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,1.08%,2024-03-11
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.81%,2024-03-08
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.78%,2024-03-06
Mirabella Financial Services LLP,Glanbia PLC,IE0000669501,0.51%,2024-03-05
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.59%,2024-03-05
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.81%,2024-03-05
