Position Holder:,Name of the Issuer:,ISIN:,Net short position %:,Position Date:
Millennium International Management LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.47%,2022-08-24
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.57%,2022-08-24
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.68%,2022-08-19
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.59%,2022-08-12
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.60%,2022-08-10
Millennium International Management LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.50%,2022-07-29
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.50%,2022-07-28
Sandbar Asset Management LLP,Kingspan Group Ord,IE0004927939,0.48%,2022-07-20
"Bridgewater Associates, LP",CRH PLC,IE0001827041,0.49%,2022-07-07
"Bridgewater Associates, LP",CRH PLC,IE0001827041,0.50%,2022-07-06
"Bridgewater Associates, LP",CRH PLC,IE0001827041,0.49%,2022-07-05
"Bridgewater Associates, LP",CRH PLC,IE0001827041,0.50%,2022-07-01
Sandbar Asset Management LLP,Kingspan Group Ord,IE0004927939,0.50%,2022-07-01
"Bridgewater Associates, LP",CRH PLC,IE0001827041,0.48%,2022-06-27
"Bridgewater Associates, LP",CRH PLC,IE0001827041,0.50%,2022-06-24
GLG Partners LP,GLANBIA PUBLIC LIMITED COMPANY,IE0000669501,0.42%,2022-05-05
GLG Partners LP,GLANBIA PUBLIC LIMITED COMPANY,IE0000669501,0.75%,2022-04-12
GLG Partners LP,GLANBIA PUBLIC LIMITED COMPANY,IE0000669501,0.91%,2022-04-11
GLG Partners LP,GLANBIA PUBLIC LIMITED COMPANY,IE0000669501,0.88%,2022-03-29
GLG Partners LP,GLANBIA PUBLIC LIMITED COMPANY,IE0000669501,0.90%,2022-03-22
Millennium International Management LP,Irish Continental Group PLC,IE00BLP58571,0.00%,2022-03-18
Millennium International Management LP,Irish Continental Group PLC,IE00BLP58571,0.90%,2022-03-17
Millennium International Management LP,Irish Continental Group PLC,IE00BLP58571,0.85%,2022-03-16
Millennium International Management LP,Irish Continental Group PLC,IE00BLP58571,0.75%,2022-03-14
Millennium International Management LP,Irish Continental Group PLC,IE00BLP58571,0.62%,2022-03-10
Millennium International Management LP,Irish Continental Group PLC,IE00BLP58571,0.54%,2022-03-07
GLG Partners LP,GLANBIA PUBLIC LIMITED COMPANY,IE0000669501,0.80%,2022-01-20
GLG Partners LP,GLANBIA PUBLIC LIMITED COMPANY,IE0000669501,0.70%,2021-11-24
GLG Partners LP,GLANBIA PUBLIC LIMITED COMPANY,IE0000669501,0.69%,2021-11-18
GLG Partners LP,GLANBIA PUBLIC LIMITED COMPANY,IE0000669501,0.70%,2021-11-16
GLG Partners LP,GLANBIA PUBLIC LIMITED COMPANY,IE0000669501,0.66%,2021-11-12
GLG Partners LP,GLANBIA PUBLIC LIMITED COMPANY,IE0000669501,0.54%,2021-10-26
"BlackRock Institutional Trust Company, National Association",Glenveagh Properties PLC,IE00BD6JX574,0.49%,2021-07-28
"BlackRock Institutional Trust Company, National Association",Glenveagh Properties PLC,IE00BD6JX574,0.51%,2021-07-22
BlackRock Investment Management (UK) Limited,Glanbia PLC,IE0000669501,0.49%,2021-04-30
BlackRock Investment Management (UK) Limited,Glanbia PLC,IE0000669501,0.59%,2021-03-15
BlackRock Investment Management (UK) Limited,Glanbia PLC,IE0000669501,0.65%,2021-02-17
Taloman Capital Limited,Glanbia PLC,IE0000669501,0.44%,2021-02-09
D1 Capital Partners L.P.,Washington Prime Groupe Inc.,US93964W4050,0.00%,2021-01-29
D1 Capital Partners L.P.,Washington Prime Groupe Inc.,US93964W4050,0.71%,2021-01-28
D1 Capital Partners L.P.,Washington Prime Groupe Inc.,US93964W4050,2.08%,2021-01-27
D1 Capital Partners L.P.,Washington Prime Groupe Inc.,US93964W4050,2.77%,2020-12-23
JPMorgan Asset Management (UK) limited,Dalata Hotel Group PLC,IE00BJMZDW83,0.35%,2020-11-12
JPMorgan Asset Management (UK) limited,Dalata Hotel Group PLC,IE00BJMZDW83,0.58%,2020-11-11
JPMorgan Asset Management (UK) limited,Dalata Hotel Group PLC,IE00BJMZDW83,0.69%,2020-11-10
Citadel Europe LLP,Bank of Ireland Group PLC,IE00BD1RP616,0.42%,2020-11-05
Citadel Europe LLP,Bank of Ireland Group PLC,IE00BD1RP616,0.51%,2020-11-04
Citadel Europe LLP,Bank of Ireland Group PLC,IE00BD1RP616,0.66%,2020-11-03
Sylebra Capital Limited,Glanbia PLC,IE0000669501,0.23%,2020-10-30
Taloman Capital Limited,Glanbia PLC,IE0000669501,0.50%,2020-10-28
Sylebra Capital Limited,Glanbia PLC,IE0000669501,0.51%,2020-10-28
Citadel Europe LLP,Bank of Ireland Group PLC,IE00BD1RP616,0.71%,2020-09-25
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,0.17%,2020-09-18
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,0.60%,2020-09-16
Citadel Europe LLP,Bank of Ireland Group PLC,IE00BD1RP616,0.60%,2020-09-09
Citadel Europe LLP,Bank of Ireland Group PLC,IE00BD1RP616,0.50%,2020-09-08
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,0.50%,2020-09-08
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,0.49%,2020-09-03
JPMorgan Asset Management (UK) limited,Dalata Hotel Group PLC,IE00BJMZDW83,0.77%,2020-09-03
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,0.51%,2020-09-01
JPMorgan Asset Management (UK) limited,Dalata Hotel Group PLC,IE00BJMZDW83,1.13%,2020-08-13
Sylebra Capital Limited,Glanbia PLC,IE0000669501,0.79%,2020-07-20
Sylebra Capital Limited,Glanbia PLC,IE0000669501,0.88%,2020-06-11
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.45%,2020-06-01
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,0.16%,2020-05-29
"WorldQuant, LLC",Origin Enterprises PLC,IE00B1WV4493,0.49%,2020-05-28
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,1.81%,2020-05-28
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.59%,2020-05-28
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,1.56%,2020-05-27
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.65%,2020-05-27
"ExodusPoint Capital Management, LP",Bank of Ireland Group PLC,IE00BD1RP616,0.46%,2020-05-26
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.72%,2020-05-26
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,1.41%,2020-05-25
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,1.32%,2020-05-22
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,1.24%,2020-05-21
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.89%,2020-05-21
"WorldQuant, LLC",Bank of Ireland Group PLC,IE00BD1RP616,0.48%,2020-05-20
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,1.15%,2020-05-20
"WorldQuant, LLC",Bank of Ireland Group PLC,IE00BD1RP616,0.50%,2020-05-19
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.95%,2020-05-19
"ExodusPoint Capital Management, LP",Bank of Ireland Group PLC,IE00BD1RP616,0.53%,2020-05-18
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,1.00%,2020-05-15
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,1.01%,2020-05-15
"WorldQuant, LLC",Origin Enterprises PLC,IE00B1WV4493,0.50%,2020-05-13
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.93%,2020-05-13
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,0.91%,2020-05-12
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,0.80%,2020-05-08
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.89%,2020-05-08
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,0.73%,2020-05-06
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,0.64%,2020-05-04
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.96%,2020-04-30
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,0.52%,2020-04-29
JPMorgan Asset Management (UK) limited,Dalata Hotel Group PLC,IE00BJMZDW83,1.22%,2020-04-23
JPMorgan Asset Management (UK) limited,Dalata Hotel Group PLC,IE00BJMZDW83,1.12%,2020-04-22
JPMorgan Asset Management (UK) limited,Dalata Hotel Group PLC,IE00BJMZDW83,1.07%,2020-04-21
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,1.09%,2020-04-20
JPMorgan Asset Management (UK) limited,Dalata Hotel Group PLC,IE00BJMZDW83,0.92%,2020-04-17
JPMorgan Asset Management (UK) limited,Dalata Hotel Group PLC,IE00BJMZDW83,0.80%,2020-04-16
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,1.11%,2020-04-16
JPMorgan Asset Management (UK) limited,Dalata Hotel Group PLC,IE00BJMZDW83,0.74%,2020-04-15
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,1.07%,2020-04-15
JPMorgan Asset Management (UK) limited,Dalata Hotel Group PLC,IE00BJMZDW83,0.60%,2020-04-08
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.99%,2020-04-08
Sylebra Capital Limited,Glanbia PLC,IE0000669501,0.92%,2020-04-07
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,1.00%,2020-04-07
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.87%,2020-04-06
JPMorgan Asset Management (UK) limited,Dalata Hotel Group PLC,IE00BJMZDW83,0.59%,2020-04-03
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.78%,2020-04-03
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.62%,2020-03-30
Sylebra Capital Limited,Glanbia PLC,IE0000669501,0.83%,2020-03-26
"Bridgewater Associates, LP",CRH PLC,IE0001827264,0.43%,2020-03-24
"Bridgewater Associates, LP",CRH PLC,IE0001827264,0.54%,2020-03-23
JPMorgan Asset Management (UK) limited,Dalata Hotel Group PLC,IE00BJMZDW83,0.61%,2020-03-20
"Bridgewater Associates, LP",CRH PLC,IE0001827264,0.68%,2020-03-19
JPMorgan Asset Management (UK) limited,Dalata Hotel Group PLC,IE00BJMZDW83,0.59%,2020-03-19
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.52%,2020-03-18
"Bridgewater Associates, LP",CRH PLC,IE0001827264,0.76%,2020-03-17
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.49%,2020-03-17
Taloman Capital Limited,Glanbia PLC,IE0000669501,0.12%,2020-03-16
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.52%,2020-03-16
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.50%,2020-03-13
Sylebra Capital Limited,Glanbia PLC,IE0000669501,0.71%,2020-03-12
"Bridgewater Associates, LP",CRH PLC,IE0001827264,0.88%,2020-03-12
"Bridgewater Associates, LP",CRH PLC,IE0001827264,0.66%,2020-03-09
Millennium International Management LP,Kingspan Group PLC,IE0004927939,0.49%,2020-03-06
Sylebra Capital Limited,Glanbia PLC,IE0000669501,0.50%,2020-03-04
Millennium International Management LP,Kingspan Group PLC,IE0004927939,0.56%,2020-02-05
Millennium International Management LP,Kingspan Group PLC,IE0004927939,0.60%,2020-01-23
